run_id,production_date,month,plant,production_line,shift,fabric_type,customer_segment,target_meters,actual_meters,good_meters,defect_meters,defect_type,material_issued_kg,waste_kg,downtime_minutes,machine_speed_rpm,operators_count,energy_kwh,order_value_inr,delivery_status,quality_grade
TR00170,2025-01-09,Jan,Surat,SU-L02,Evening,Cotton,Exporter,822,749.7,727.3,22.4,Weaving,235.9,6.2,41,802,6,143.4,98960.4,On Time,B
TR00272,2025-01-09,Jan,Ludhiana,LU-L03,Evening,Denim,Wholesaler,888,753.8,742.1,11.7,Shade Variation,233.9,2.3,91,703,7,141.5,131915.0,On Time,A
TR00369,2025-01-09,Jan,Surat,SU-L03,Morning,Denim,Wholesaler,1081,1096.2,1045.9,50.3,Weaving,336.9,9.6,19,733,8,211.1,191835.0,On Time,B
TR00821,2025-01-09,Jan,Surat,SU-L01,Night,Cotton,Fashion House,965,791.8,776.4,15.4,Yarn Break,242.4,8.9,87,629,12,212.3,104517.6,Late,A
TR01167,2025-01-09,Jan,Ludhiana,LU-L01,Morning,Cotton,Exporter,885,751.0,714.3,36.7,Weaving,200.9,6.3,72,656,10,158.8,99132.0,On Time,B
TR00429,2025-01-10,Jan,Delhi NCR,DE-L01,Night,Viscose,Exporter,1177,967.5,945.5,22.0,Stain,265.3,9.8,25,720,11,220.1,143190.0,On Time,A
TR00454,2025-01-10,Jan,Ludhiana,LU-L01,Morning,Blend,Domestic Brand,993,847.3,826.5,20.8,Yarn Break,226.6,13.2,39,857,11,202.1,105065.2,On Time,A
TR01180,2025-01-10,Jan,Surat,SU-L01,Night,Denim,Wholesaler,1006,854.7,821.8,32.9,Finishing,262.6,9.9,55,652,11,204.9,149572.5,Late,B
TR01399,2025-01-10,Jan,Ludhiana,LU-L02,Morning,Polyester,Wholesaler,1031,887.9,862.5,25.4,Weaving,279.0,13.2,24,869,9,208.2,95893.2,On Time,B
TR00830,2025-01-11,Jan,Jaipur,JA-L02,Evening,Denim,Domestic Brand,1015,882.9,872.4,10.5,Weaving,280.2,13.9,26,890,10,229.0,154507.5,On Time,A
TR01300,2025-01-11,Jan,Surat,SU-L02,Evening,Denim,Exporter,917,886.6,852.0,34.6,Weaving,275.3,4.4,33,790,12,224.1,155155.0,On Time,B
TR01493,2025-01-11,Jan,Surat,SU-L03,Night,Blend,Exporter,941,959.5,911.1,48.4,Finishing,265.5,10.9,51,644,7,213.4,118978.0,On Time,C
TR00138,2025-01-12,Jan,Delhi NCR,DE-L02,Morning,Polyester,Domestic Brand,907,832.1,799.8,32.3,Shade Variation,237.7,10.2,7,693,8,200.3,89866.8,On Time,B
TR00385,2025-01-12,Jan,Jaipur,JA-L01,Morning,Blend,Fashion House,1166,1165.3,1140.0,25.3,Yarn Break,309.6,14.7,11,836,10,240.0,144497.2,On Time,A
TR00787,2025-01-12,Jan,Ludhiana,LU-L01,Night,Viscose,Exporter,867,846.4,820.0,26.4,Weaving,239.7,3.0,44,666,7,214.1,125267.2,On Time,B
TR00147,2025-01-13,Jan,Surat,SU-L03,Night,Blend,Exporter,792,794.2,771.0,23.2,Stain,216.4,6.9,19,863,11,213.2,98480.8,On Time,B
TR00663,2025-01-13,Jan,Jaipur,JA-L01,Night,Cotton,Fashion House,815,684.9,665.8,19.1,Shade Variation,199.8,6.2,90,891,8,172.8,90406.8,On Time,B
TR00117,2025-01-14,Jan,Jaipur,JA-L01,Morning,Cotton,Exporter,884,797.5,782.7,14.8,Yarn Break,226.8,17.6,47,762,9,160.2,105270.0,Late,A
TR00328,2025-01-14,Jan,Surat,SU-L02,Night,Denim,Domestic Brand,1031,1062.0,1022.9,39.1,Yarn Break,287.7,6.7,45,733,5,272.8,185850.0,On Time,B
TR00844,2025-01-14,Jan,Surat,SU-L02,Evening,Polyester,Fashion House,1012,850.5,815.7,34.8,Yarn Break,260.7,10.4,98,883,7,227.0,91854.0,On Time,B
TR00970,2025-01-14,Jan,Jaipur,JA-L01,Morning,Cotton,Exporter,1208,1156.9,1124.8,32.1,Weaving,346.9,8.8,13,741,8,221.9,152710.8,On Time,B
TR01266,2025-01-14,Jan,Surat,SU-L02,Evening,Denim,Fashion House,1167,1099.0,1063.7,35.3,Stain,345.4,18.5,14,871,5,211.9,192325.0,On Time,B
TR01446,2025-01-14,Jan,Jaipur,JA-L01,Evening,Cotton,Wholesaler,964,935.4,911.6,23.8,Yarn Break,256.5,16.6,17,651,8,219.1,123472.8,On Time,B
TR00870,2025-01-15,Jan,Delhi NCR,DE-L01,Evening,Denim,Wholesaler,1043,896.1,856.3,39.8,Shade Variation,255.9,10.7,36,818,6,225.1,156817.5,On Time,B
TR01240,2025-01-15,Jan,Delhi NCR,DE-L01,Evening,Denim,Fashion House,897,874.4,867.7,6.7,Shade Variation,238.7,3.3,35,884,10,210.2,153020.0,On Time,A
TR01452,2025-01-15,Jan,Jaipur,JA-L03,Night,Denim,Exporter,951,868.5,858.3,10.2,Weaving,259.4,8.7,19,692,6,230.1,151987.5,On Time,A
TR00056,2025-01-16,Jan,Delhi NCR,DE-L01,Evening,Viscose,Domestic Brand,831,773.6,742.0,31.6,Weaving,224.2,11.2,25,860,10,181.5,114492.8,On Time,B
TR00250,2025-01-16,Jan,Surat,SU-L02,Evening,Cotton,Wholesaler,809,753.4,707.3,46.1,Weaving,233.9,12.8,15,645,12,154.9,99448.8,On Time,C
TR00562,2025-01-16,Jan,Jaipur,JA-L02,Evening,Cotton,Exporter,1118,1084.5,1075.7,8.8,Shade Variation,318.5,10.5,105,684,5,298.0,143154.0,On Time,A
TR00817,2025-01-16,Jan,Delhi NCR,DE-L02,Evening,Cotton,Wholesaler,980,860.4,834.1,26.3,Yarn Break,230.3,10.1,38,867,11,208.0,113572.8,On Time,B
TR00902,2025-01-16,Jan,Surat,SU-L03,Night,Cotton,Exporter,909,669.1,641.9,27.2,Yarn Break,192.0,11.0,78,764,10,164.1,88321.2,On Time,B
TR01019,2025-01-16,Jan,Delhi NCR,DE-L02,Morning,Cotton,Domestic Brand,1171,1093.7,1038.0,55.7,Yarn Break,331.7,12.7,35,724,8,273.0,144368.4,On Time,C
TR01099,2025-01-16,Jan,Surat,SU-L03,Evening,Polyester,Wholesaler,1195,1080.5,1069.3,11.2,Stain,330.3,15.9,5,800,6,199.9,116694.0,On Time,A
TR00352,2025-01-17,Jan,Surat,SU-L03,Morning,Viscose,Exporter,1215,1130.5,1096.9,33.6,Yarn Break,309.4,13.8,27,868,7,285.4,167314.0,On Time,B
TR00397,2025-01-17,Jan,Ludhiana,LU-L03,Morning,Cotton,Exporter,1210,1244.3,1225.3,19.0,Shade Variation,366.5,4.2,11,840,6,269.5,164247.6,On Time,A
TR00811,2025-01-17,Jan,Jaipur,JA-L03,Evening,Denim,Fashion House,831,730.5,718.9,11.6,Stain,220.6,8.6,41,620,8,162.2,127837.5,On Time,A
TR01110,2025-01-17,Jan,Delhi NCR,DE-L01,Evening,Viscose,Exporter,850,760.0,755.1,4.9,Shade Variation,201.3,3.4,20,802,11,153.7,112480.0,On Time,A
TR00574,2025-01-18,Jan,Ludhiana,LU-L03,Evening,Denim,Wholesaler,1002,968.7,935.9,32.8,Yarn Break,311.4,10.5,37,724,10,198.6,169522.5,On Time,B
TR01270,2025-01-18,Jan,Surat,SU-L02,Night,Viscose,Exporter,1128,1094.7,1047.2,47.5,Yarn Break,329.7,9.6,16,749,11,198.7,162015.6,On Time,B
TR01286,2025-01-18,Jan,Ludhiana,LU-L02,Morning,Viscose,Wholesaler,870,762.8,725.1,37.7,Weaving,233.5,11.0,27,685,10,191.0,112894.4,On Time,B
TR01463,2025-01-18,Jan,Jaipur,JA-L03,Morning,Denim,Domestic Brand,1020,909.1,886.6,22.5,Shade Variation,290.0,6.2,13,782,10,191.5,159092.5,On Time,A
TR00584,2025-01-19,Jan,Jaipur,JA-L02,Evening,Cotton,Exporter,1188,1143.5,1136.6,6.9,Weaving,353.4,8.9,47,671,11,253.2,150942.0,On Time,A
TR00699,2025-01-19,Jan,Ludhiana,LU-L02,Morning,Viscose,Exporter,1105,959.0,929.1,29.9,Weaving,263.3,11.4,8,900,6,232.1,141932.0,On Time,B
TR00848,2025-01-19,Jan,Delhi NCR,DE-L02,Evening,Viscose,Domestic Brand,1124,1098.9,1073.6,25.3,Weaving,343.3,18.0,5,722,5,262.8,162637.2,On Time,A
TR01453,2025-01-19,Jan,Jaipur,JA-L01,Evening,Denim,Fashion House,920,889.0,862.6,26.4,Shade Variation,258.3,9.0,9,894,5,195.8,155575.0,On Time,B
TR01464,2025-01-19,Jan,Surat,SU-L01,Night,Denim,Wholesaler,1018,938.6,890.9,47.7,Stain,290.6,10.4,75,796,8,232.4,164255.0,On Time,C
TR00546,2025-01-20,Jan,Surat,SU-L02,Evening,Blend,Exporter,1041,911.8,896.7,15.1,Finishing,264.7,14.1,17,671,8,243.3,113063.2,Late,A
TR00887,2025-01-20,Jan,Surat,SU-L01,Night,Cotton,Fashion House,1132,1030.3,986.3,44.0,Weaving,327.2,10.1,27,801,12,233.9,135999.6,On Time,B
TR00898,2025-01-20,Jan,Ludhiana,LU-L02,Evening,Denim,Wholesaler,1080,959.5,936.2,23.3,Stain,268.9,16.6,24,635,7,204.5,167912.5,On Time,A
TR00542,2025-01-21,Jan,Ludhiana,LU-L01,Evening,Cotton,Wholesaler,982,922.4,883.1,39.3,Finishing,263.9,4.8,30,871,10,216.2,121756.8,On Time,B
TR00858,2025-01-21,Jan,Delhi NCR,DE-L03,Evening,Denim,Domestic Brand,985,969.8,953.6,16.2,Stain,266.1,17.8,39,638,5,207.0,169715.0,On Time,A
TR01021,2025-01-21,Jan,Ludhiana,LU-L02,Morning,Denim,Wholesaler,1114,1077.1,1053.3,23.8,Finishing,300.6,15.8,39,909,7,277.7,188492.5,On Time,A
TR01026,2025-01-21,Jan,Surat,SU-L01,Night,Blend,Fashion House,858,718.9,704.4,14.5,Stain,229.7,7.1,58,660,12,139.0,89143.6,On Time,A
TR01267,2025-01-21,Jan,Surat,SU-L01,Evening,Denim,Domestic Brand,1065,892.1,866.8,25.3,Finishing,240.4,10.5,73,793,5,237.3,156117.5,Late,B
TR00150,2025-01-22,Jan,Surat,SU-L01,Morning,Denim,Exporter,1136,1038.8,1006.9,31.9,Yarn Break,302.5,10.2,57,868,7,272.2,181790.0,On Time,B
TR01136,2025-01-22,Jan,Surat,SU-L02,Morning,Polyester,Fashion House,1000,981.7,933.8,47.9,Finishing,261.8,4.1,9,837,7,238.1,106023.6,On Time,B
TR00619,2025-01-23,Jan,Delhi NCR,DE-L03,Morning,Cotton,Wholesaler,795,768.4,757.7,10.7,Weaving,217.6,13.9,39,689,5,176.6,101428.8,On Time,A
TR01351,2025-01-23,Jan,Ludhiana,LU-L01,Morning,Blend,Domestic Brand,799,774.6,754.0,20.6,Stain,207.4,5.9,32,756,10,215.5,96050.4,On Time,B
TR01411,2025-01-23,Jan,Surat,SU-L01,Morning,Blend,Wholesaler,1171,1229.6,1219.5,10.1,Stain,330.4,9.0,45,650,11,300.9,152470.4,On Time,A
TR01470,2025-01-23,Jan,Surat,SU-L01,Morning,Viscose,Fashion House,823,797.1,759.7,37.4,Shade Variation,238.1,8.7,12,689,12,184.9,117970.8,On Time,B
TR00036,2025-01-24,Jan,Surat,SU-L02,Evening,Cotton,Wholesaler,1142,1048.6,1030.2,18.4,Shade Variation,322.8,14.4,28,826,12,274.5,138415.2,On Time,A
TR00279,2025-01-24,Jan,Ludhiana,LU-L01,Morning,Cotton,Exporter,851,782.4,765.7,16.7,Weaving,219.8,13.2,19,689,11,207.1,103276.8,On Time,A
TR01456,2025-01-24,Jan,Ludhiana,LU-L03,Morning,Polyester,Fashion House,901,760.3,729.6,30.7,Weaving,204.7,10.2,30,859,6,175.1,82112.4,On Time,B
TR00045,2025-01-25,Jan,Delhi NCR,DE-L02,Night,Denim,Exporter,1102,1024.9,969.3,55.6,Yarn Break,312.7,10.5,104,752,8,226.4,179357.5,On Time,C
TR00387,2025-01-25,Jan,Surat,SU-L03,Evening,Cotton,Wholesaler,1015,1065.8,1031.5,34.3,Stain,321.7,13.8,34,700,7,221.7,140685.6,On Time,B
TR00518,2025-01-25,Jan,Jaipur,JA-L02,Morning,Denim,Fashion House,992,933.4,907.0,26.4,Stain,266.2,9.6,5,636,8,232.7,163345.0,On Time,B
TR01035,2025-01-25,Jan,Delhi NCR,DE-L01,Morning,Viscose,Exporter,1178,1169.7,1152.3,17.4,Stain,321.1,18.8,57,662,7,215.4,173115.6,On Time,A
TR01362,2025-01-25,Jan,Surat,SU-L02,Evening,Cotton,Wholesaler,1070,996.2,980.9,15.3,Yarn Break,267.9,10.4,46,737,11,254.9,131498.4,On Time,A
TR00899,2025-01-26,Jan,Jaipur,JA-L03,Morning,Polyester,Wholesaler,940,914.5,879.8,34.7,Stain,283.4,10.7,28,863,12,174.5,98766.0,On Time,B
TR00659,2025-01-27,Jan,Jaipur,JA-L01,Night,Denim,Fashion House,810,779.6,745.6,34.0,Finishing,238.0,11.2,36,694,6,150.3,136430.0,On Time,B
TR01022,2025-01-27,Jan,Ludhiana,LU-L02,Morning,Cotton,Fashion House,1126,1035.5,1000.2,35.3,Yarn Break,298.5,6.1,30,829,5,210.2,136686.0,On Time,B
TR00069,2025-01-28,Jan,Ludhiana,LU-L01,Night,Polyester,Wholesaler,1182,1119.4,1071.2,48.2,Stain,345.3,9.9,11,762,9,311.9,120895.2,On Time,B
TR01055,2025-01-28,Jan,Ludhiana,LU-L02,Night,Polyester,Fashion House,899,899.7,870.0,29.7,Yarn Break,266.7,7.9,14,857,5,181.9,97167.6,On Time,B
TR01215,2025-01-28,Jan,Ludhiana,LU-L03,Evening,Cotton,Exporter,828,735.5,712.0,23.5,Stain,216.2,7.5,39,774,10,179.0,97086.0,On Time,B
TR01253,2025-01-28,Jan,Jaipur,JA-L01,Morning,Viscose,Wholesaler,1215,1197.4,1145.6,51.8,Weaving,318.9,15.9,47,859,12,321.0,177215.2,On Time,B
TR00127,2025-01-29,Jan,Surat,SU-L01,Evening,Blend,Domestic Brand,1186,1143.4,1120.4,23.0,Yarn Break,331.5,10.7,7,626,7,288.3,141781.6,On Time,A
TR00217,2025-01-29,Jan,Jaipur,JA-L03,Morning,Denim,Domestic Brand,798,665.4,648.6,16.8,Yarn Break,200.5,8.5,54,658,6,122.9,116445.0,On Time,B
TR01027,2025-01-29,Jan,Ludhiana,LU-L02,Evening,Cotton,Fashion House,870,888.8,858.3,30.5,Finishing,267.8,3.5,24,640,10,218.9,117321.6,On Time,B
TR00439,2025-01-30,Jan,Delhi NCR,DE-L01,Morning,Polyester,Domestic Brand,1017,942.6,919.0,23.6,Weaving,284.0,8.4,66,881,12,249.9,101800.8,On Time,A
TR01096,2025-01-30,Jan,Ludhiana,LU-L02,Morning,Polyester,Domestic Brand,1026,908.6,865.5,43.1,Weaving,273.8,12.6,11,751,10,196.3,98128.8,On Time,B
TR00246,2025-01-31,Jan,Surat,SU-L01,Evening,Cotton,Fashion House,1082,843.2,813.6,29.6,Finishing,270.6,16.7,26,900,11,184.8,111302.4,On Time,B
TR00280,2025-01-31,Jan,Surat,SU-L01,Morning,Polyester,Wholesaler,975,827.6,804.3,23.3,Finishing,225.7,9.3,54,728,5,220.7,89380.8,On Time,B
TR00431,2025-01-31,Jan,Ludhiana,LU-L01,Evening,Viscose,Domestic Brand,901,809.0,786.5,22.5,Yarn Break,220.2,8.0,25,841,11,173.0,119732.0,On Time,B
TR00678,2025-01-31,Jan,Delhi NCR,DE-L02,Evening,Cotton,Exporter,846,729.9,713.1,16.8,Weaving,205.5,6.4,29,665,11,192.7,96346.8,On Time,A
TR01122,2025-01-31,Jan,Surat,SU-L01,Night,Denim,Exporter,979,866.8,813.5,53.3,Weaving,231.5,9.1,29,742,7,215.1,151690.0,Late,C
TR01256,2025-01-31,Jan,Jaipur,JA-L02,Morning,Polyester,Domestic Brand,1036,1024.7,1003.6,21.1,Weaving,292.5,11.9,32,877,5,230.0,110667.6,On Time,A
TR01328,2025-01-31,Jan,Delhi NCR,DE-L03,Night,Cotton,Domestic Brand,1153,879.2,863.3,15.9,Weaving,232.4,10.6,29,720,6,213.6,116054.4,On Time,A
TR01361,2025-01-31,Jan,Surat,SU-L02,Morning,Polyester,Fashion House,1038,997.5,980.4,17.1,Weaving,321.1,12.1,93,693,11,238.3,107730.0,On Time,A
TR00007,2025-02-01,Feb,Surat,SU-L01,Evening,Denim,Wholesaler,1024,905.6,871.2,34.4,Shade Variation,255.8,8.3,32,645,9,204.5,158480.0,On Time,B
TR00196,2025-02-01,Feb,Delhi NCR,DE-L03,Evening,Polyester,Wholesaler,1016,929.4,903.5,25.9,Stain,258.3,9.1,44,735,9,202.1,100375.2,On Time,B
TR00753,2025-02-01,Feb,Surat,SU-L03,Evening,Cotton,Fashion House,939,855.8,841.3,14.5,Weaving,233.6,9.0,32,807,10,199.5,112965.6,On Time,A
TR00881,2025-02-01,Feb,Surat,SU-L01,Evening,Cotton,Wholesaler,1108,1083.3,1049.8,33.5,Stain,294.4,20.0,69,781,12,218.7,142995.6,On Time,B
TR00001,2025-02-02,Feb,Delhi NCR,DE-L03,Night,Cotton,Exporter,1003,913.6,864.3,49.3,Yarn Break,255.0,9.5,24,868,8,233.7,120595.2,On Time,C
TR00172,2025-02-02,Feb,Jaipur,JA-L03,Evening,Cotton,Fashion House,1132,1078.8,1025.9,52.9,Stain,292.5,17.6,73,623,8,211.6,142401.6,Late,B
TR00695,2025-02-02,Feb,Delhi NCR,DE-L02,Night,Blend,Exporter,964,984.2,938.9,45.3,Stain,293.3,12.3,38,715,10,258.5,122040.8,On Time,B
TR00728,2025-02-02,Feb,Jaipur,JA-L03,Morning,Cotton,Exporter,836,756.2,727.2,29.0,Shade Variation,209.9,6.6,36,857,12,173.6,99818.4,On Time,B
TR00033,2025-02-03,Feb,Surat,SU-L03,Morning,Polyester,Exporter,1215,1230.3,1179.3,51.0,Yarn Break,332.9,13.7,34,650,5,255.9,132872.4,On Time,B
TR00133,2025-02-03,Feb,Jaipur,JA-L01,Morning,Denim,Fashion House,915,791.9,779.8,12.1,Stain,217.7,10.1,23,671,9,176.5,138582.5,On Time,A
TR00359,2025-02-03,Feb,Jaipur,JA-L01,Evening,Cotton,Fashion House,1216,1063.2,1042.8,20.4,Yarn Break,334.8,11.7,19,655,12,251.8,140342.4,Late,A
TR00826,2025-02-03,Feb,Delhi NCR,DE-L02,Evening,Cotton,Wholesaler,970,861.3,856.1,5.2,Weaving,260.3,11.6,17,903,11,173.8,113691.6,On Time,A
TR00910,2025-02-03,Feb,Delhi NCR,DE-L03,Night,Viscose,Domestic Brand,1073,955.8,950.1,5.7,Weaving,289.0,13.2,15,857,11,260.8,141458.4,On Time,A
TR00010,2025-02-04,Feb,Surat,SU-L03,Night,Denim,Wholesaler,806,803.2,730.6,72.6,Yarn Break,249.3,13.6,31,765,9,193.6,140560.0,On Time,C
TR00243,2025-02-04,Feb,Ludhiana,LU-L02,Night,Viscose,Wholesaler,1000,917.0,888.9,28.1,Stain,243.0,11.1,53,828,5,244.0,135716.0,On Time,B
TR00376,2025-02-04,Feb,Surat,SU-L02,Evening,Polyester,Exporter,895,854.0,833.0,21.0,Stain,242.2,11.1,93,896,5,216.8,92232.0,On Time,A
TR00581,2025-02-04,Feb,Ludhiana,LU-L01,Night,Cotton,Domestic Brand,1000,879.1,843.5,35.6,Finishing,248.0,6.6,37,626,6,208.5,116041.2,On Time,B
TR00674,2025-02-04,Feb,Surat,SU-L02,Morning,Cotton,Exporter,968,874.3,851.8,22.5,Finishing,234.6,3.8,15,715,12,188.6,115407.6,On Time,B
TR00700,2025-02-04,Feb,Delhi NCR,DE-L03,Evening,Polyester,Fashion House,1083,969.7,933.1,36.6,Yarn Break,267.2,4.6,21,662,12,219.2,104727.6,On Time,B
TR00791,2025-02-04,Feb,Jaipur,JA-L03,Morning,Denim,Domestic Brand,809,682.9,677.7,5.2,Yarn Break,209.5,7.9,40,655,9,138.4,119507.5,On Time,A
TR00951,2025-02-04,Feb,Jaipur,JA-L01,Evening,Cotton,Domestic Brand,783,655.8,622.6,33.2,Yarn Break,177.8,7.5,53,743,11,138.9,86565.6,On Time,C
TR00977,2025-02-04,Feb,Surat,SU-L01,Morning,Cotton,Exporter,981,876.7,850.0,26.7,Stain,267.2,10.4,16,815,5,184.9,115724.4,On Time,B
TR00087,2025-02-05,Feb,Ludhiana,LU-L01,Morning,Denim,Fashion House,1141,1042.7,1027.8,14.9,Shade Variation,335.6,6.9,24,793,10,275.5,182472.5,Late,A
TR00218,2025-02-05,Feb,Delhi NCR,DE-L03,Morning,Polyester,Fashion House,941,944.4,919.6,24.8,Shade Variation,248.7,10.4,78,673,8,218.3,101995.2,On Time,B
TR00588,2025-02-06,Feb,Ludhiana,LU-L01,Evening,Denim,Fashion House,1216,1238.5,1198.3,40.2,Weaving,354.1,7.7,92,819,11,223.0,216737.5,On Time,B
TR00891,2025-02-06,Feb,Ludhiana,LU-L01,Morning,Polyester,Wholesaler,788,697.6,675.9,21.7,Shade Variation,203.4,3.7,18,838,5,182.5,75340.8,On Time,B
TR00258,2025-02-07,Feb,Surat,SU-L01,Morning,Blend,Exporter,1015,928.0,880.2,47.8,Stain,294.7,12.9,15,729,9,181.7,115072.0,On Time,C
TR00580,2025-02-07,Feb,Delhi NCR,DE-L02,Morning,Viscose,Fashion House,1171,1091.6,1052.5,39.1,Yarn Break,329.2,17.1,9,825,12,303.5,161556.8,On Time,B
TR01289,2025-02-07,Feb,Ludhiana,LU-L02,Night,Viscose,Wholesaler,1103,1059.4,1008.9,50.5,Stain,338.4,15.4,14,701,7,240.9,156791.2,On Time,B
