project_id,created_date,due_date,completed_date,department,content_type,complexity,workflow,prompt_template,pages,actual_hours,baseline_hours,hours_saved,actual_cost_inr,baseline_cost_inr,cost_saved_inr,revisions,first_pass_approved,quality_score,on_time,status
PUB-0025,2025-12-07,2025-12-16,2025-12-09,Production,Workbook,Low,AI-Assisted,Editorial QA,71,15.7,31.0,15.3,17051.51,33716.6,16665.09,0,Yes,90.7,Yes,Completed
PUB-0026,2025-08-22,2025-08-30,,Editorial,Illustration,High,AI-Assisted,Structured v3,12,4.2,6.7,2.5,3569.32,5672.76,2103.44,0,,99.0,,In Review
PUB-0027,2025-04-29,2025-05-07,2025-04-30,Digital Learning,Workbook,Low,AI-Assisted,Visual Brief,17,4.2,6.4,2.2,3388.72,5124.33,1735.61,0,Yes,83.6,Yes,Completed
PUB-0028,2026-03-23,2026-04-09,2026-03-29,Editorial,E-book,Medium,AI-Assisted,Editorial QA,197,46.4,79.5,33.1,52173.89,89347.22,37173.33,0,Yes,88.6,Yes,Completed
PUB-0029,2025-05-08,2025-05-21,2025-05-12,Production,Workbook,Medium,AI-Assisted,Few-shot v2,111,28.1,53.5,25.4,27607.26,52560.64,24953.38,0,Yes,89.0,Yes,Completed
PUB-0030,2025-01-01,2025-01-19,2025-01-11,Editorial,School Textbook,Medium,Manual,Manual / NA,163,73.0,75.4,2.4,55250.1,57032.09,1781.99,0,Yes,81.6,Yes,Completed
PUB-0031,2025-03-28,2025-04-01,2025-03-29,Editorial,Illustration,Medium,AI-Assisted,Structured v3,34,7.3,13.9,6.6,4834.15,9218.21,4384.06,0,Yes,78.4,Yes,Completed
PUB-0032,2025-07-19,2025-08-02,2025-07-26,Production,Workbook,Low,AI-Assisted,Structured v3,184,52.7,79.2,26.5,37063.58,55731.81,18668.23,0,Yes,90.7,Yes,Completed
PUB-0033,2025-02-21,2025-03-09,2025-02-27,Design,E-book,Medium,AI-Assisted,Structured v3,126,45.3,72.7,27.4,50963.4,81838.87,30875.47,0,Yes,82.3,Yes,Completed
PUB-0034,2026-04-02,2026-04-12,2026-04-06,Digital Learning,Illustration,High,AI-Assisted,Structured v3,35,13.0,19.5,6.5,11599.88,17355.73,5755.85,1,No,81.7,Yes,Completed
PUB-0035,2025-12-10,2025-12-20,,Editorial,Assessment,Medium,AI-Assisted,Structured v3,23,5.0,8.6,3.6,4606.53,7927.83,3321.3,0,,90.5,,In Review
PUB-0036,2025-01-21,2025-01-31,2025-01-23,Digital Learning,Illustration,Medium,AI-Assisted,Structured v3,49,15.2,21.8,6.6,16231.54,23326.49,7094.95,0,Yes,94.5,Yes,Completed
PUB-0037,2025-08-14,2025-08-31,2025-08-26,Design,Workbook,Medium,AI-Assisted,Few-shot v2,179,41.8,80.4,38.6,36938.45,71015.5,34077.05,2,No,91.2,Yes,Completed
PUB-0038,2026-03-15,2026-03-24,2026-03-17,Editorial,Workbook,Medium,AI-Assisted,Few-shot v2,62,18.6,26.9,8.3,14677.79,21246.1,6568.31,0,Yes,89.9,Yes,Completed
PUB-0039,2026-04-27,2026-05-02,2026-04-30,Editorial,Assessment,Low,Manual,Manual / NA,48,15.8,14.8,0,10588.04,9893.64,0,1,No,87.5,Yes,Completed
PUB-0040,2025-04-28,2025-05-08,,Design,School Textbook,Medium,AI-Assisted,Editorial QA,50,18.7,28.6,9.9,19427.35,29713.55,10286.2,1,,80.9,,In Review
PUB-0041,2026-01-20,2026-01-27,2026-01-30,Design,Illustration,Low,AI-Assisted,Editorial QA,35,10.4,15.2,4.8,9882.14,14452.1,4569.96,3,No,85.2,No,Completed
PUB-0042,2026-06-03,2026-06-20,,Production,School Textbook,High,AI-Assisted,Few-shot v2,118,52.9,77.9,25.0,53093.31,78137.82,25044.51,0,,84.0,,In Progress
PUB-0043,2025-10-04,2025-10-16,2025-10-12,Production,E-book,Medium,Manual,Manual / NA,127,61.8,66.1,4.3,66487.94,71162.4,4674.46,0,Yes,94.7,Yes,Completed
PUB-0044,2026-01-24,2026-01-31,2026-01-28,Design,Assessment,High,AI-Assisted,Few-shot v2,49,19.4,28.1,8.7,19411.48,28144.33,8732.85,1,No,93.3,Yes,Completed
PUB-0045,2026-02-21,2026-03-02,2026-02-23,Design,Illustration,Medium,AI-Assisted,Editorial QA,66,13.2,24.0,10.8,11249.05,20461.65,9212.6,0,Yes,86.3,Yes,Completed
PUB-0046,2025-12-05,2025-12-16,2025-12-10,Design,Workbook,Low,AI-Assisted,Structured v3,192,37.0,60.8,23.8,38150.51,62710.56,24560.05,0,Yes,84.5,Yes,Completed
PUB-0047,2026-06-22,2026-07-03,2026-06-25,Production,E-book,Low,Manual,Manual / NA,83,24.0,27.2,3.2,22009.62,24933.61,2923.99,0,Yes,91.9,Yes,Completed
PUB-0048,2026-05-18,2026-05-27,2026-05-21,Editorial,School Textbook,Low,AI-Assisted,Few-shot v2,95,20.4,28.9,8.5,18132.84,25709.96,7577.12,0,Yes,87.9,Yes,Completed
PUB-0049,2025-02-24,2025-03-03,2025-02-25,Editorial,Illustration,High,Manual,Manual / NA,14,7.4,7.1,0,7053.38,6800.19,0,0,Yes,86.0,Yes,Completed
PUB-0050,2026-03-16,2026-03-21,2026-03-17,Editorial,Assessment,Medium,AI-Assisted,Editorial QA,30,6.3,12.5,6.2,4850.58,9660.09,4809.51,0,Yes,95.6,Yes,Completed
PUB-0051,2026-04-27,2026-05-05,2026-04-30,Editorial,School Textbook,Low,AI-Assisted,Editorial QA,124,22.7,41.8,19.1,23735.66,43734.68,19999.02,0,Yes,90.2,Yes,Completed
PUB-0052,2025-06-02,2025-06-09,2025-06-04,Digital Learning,Illustration,Medium,AI-Assisted,Structured v3,43,16.3,23.3,7.0,14174.1,20241.41,6067.31,0,Yes,85.6,Yes,Completed
PUB-0053,2025-10-06,2025-10-12,2025-10-08,Design,Assessment,Medium,AI-Assisted,Structured v3,59,14.1,29.1,15.0,10778.92,22227.66,11448.74,0,Yes,93.7,Yes,Completed
PUB-0054,2025-02-11,2025-02-19,2025-02-16,Production,School Textbook,Low,AI-Assisted,Few-shot v2,79,20.0,31.7,11.7,17917.26,28365.42,10448.16,1,No,81.8,Yes,Completed
PUB-0055,2025-06-14,2025-06-23,2025-06-15,Editorial,Illustration,Medium,AI-Assisted,Visual Brief,8,1.9,3.4,1.5,2156.68,3897.4,1740.72,0,Yes,72.7,Yes,Completed
PUB-0056,2025-02-25,2025-03-12,2025-03-05,Editorial,Workbook,Medium,Manual,Manual / NA,168,58.2,62.4,4.2,41642.48,44638.72,2996.24,0,Yes,83.5,Yes,Completed
PUB-0057,2025-09-03,2025-09-15,2025-09-07,Production,Workbook,High,AI-Assisted,Few-shot v2,65,28.4,48.1,19.7,20128.02,34104.56,13976.54,0,Yes,80.3,Yes,Completed
PUB-0058,2026-05-10,2026-05-27,,Digital Learning,Workbook,Medium,AI-Assisted,Few-shot v2,161,61.2,89.1,27.9,48233.17,70226.34,21993.17,0,,89.1,,In Review
PUB-0059,2026-06-04,2026-06-20,,Editorial,School Textbook,Medium,Manual,Manual / NA,158,84.1,79.8,0,73442.32,69704.31,0,0,,80.4,,In Review
PUB-0060,2025-07-13,2025-07-26,,Digital Learning,School Textbook,Low,AI-Assisted,Visual Brief,113,31.5,48.5,17.0,33254.69,51242.38,17987.69,0,,97.1,,In Progress
PUB-0061,2026-05-23,2026-06-08,2026-06-01,Digital Learning,School Textbook,High,Manual,Manual / NA,92,64.9,67.1,2.2,59252.11,61236.89,1984.78,0,Yes,84.0,Yes,Completed
PUB-0062,2025-09-29,2025-10-10,2025-10-02,Design,Illustration,High,AI-Assisted,Visual Brief,52,23.7,34.2,10.5,21187.18,30552.06,9364.88,0,Yes,83.4,Yes,Completed
PUB-0063,2025-10-22,2025-10-27,2025-10-23,Digital Learning,Illustration,Medium,AI-Assisted,Structured v3,16,5.7,8.2,2.5,3836.07,5520.5,1684.43,0,Yes,87.6,Yes,Completed
PUB-0064,2025-07-04,2025-07-19,2025-07-14,Editorial,School Textbook,Medium,Manual,Manual / NA,166,77.7,77.9,0.2,59525.52,59705.41,179.89,0,Yes,90.1,Yes,Completed
PUB-0065,2026-04-22,2026-05-04,2026-04-25,Digital Learning,Illustration,High,AI-Assisted,Few-shot v2,48,19.2,27.0,7.8,19107.01,26848.9,7741.89,0,Yes,82.2,Yes,Completed
PUB-0066,2026-01-26,2026-02-05,,Production,Assessment,Low,Manual,Manual / NA,41,17.5,18.2,0.7,11445.86,11931.48,485.62,0,,99,,In Progress
PUB-0067,2026-05-24,2026-06-05,2026-05-28,Digital Learning,E-book,Medium,Manual,Manual / NA,66,29.1,28.9,0,27948.97,27733.54,0,0,Yes,83.5,Yes,Completed
PUB-0068,2025-02-10,2025-02-16,2025-02-11,Editorial,Workbook,High,AI-Assisted,Editorial QA,31,10.2,17.7,7.5,7654.05,13261.37,5607.32,0,Yes,81.1,Yes,Completed
PUB-0069,2025-10-07,2025-10-20,2025-10-17,Digital Learning,Workbook,High,Manual,Manual / NA,131,77.5,73.5,0,81539.01,77308.55,0,0,Yes,93.2,Yes,Completed
PUB-0070,2026-02-11,2026-02-18,,Digital Learning,Illustration,Low,AI-Assisted,Editorial QA,5,0.9,1.6,0.7,922.06,1626.38,704.32,0,,93.2,,In Review
PUB-0071,2025-04-21,2025-05-01,,Production,Workbook,High,AI-Assisted,Visual Brief,91,24.3,49.1,24.8,25804.84,52133.36,26328.52,0,,87.2,,In Review
PUB-0072,2025-11-08,2025-11-22,2025-11-13,Digital Learning,School Textbook,Medium,AI-Assisted,Few-shot v2,107,35.8,54.3,18.5,40202.94,60981.84,20778.9,0,Yes,94.3,Yes,Completed
PUB-0073,2026-03-01,2026-03-09,2026-03-02,Production,Illustration,Low,AI-Assisted,Visual Brief,39,8.3,14.1,5.8,9339.8,15888.58,6548.78,0,Yes,95.8,Yes,Completed
PUB-0074,2026-02-12,2026-03-02,2026-03-01,Editorial,E-book,Medium,Manual,Manual / NA,218,111.2,110.3,0,105481.32,104595.72,0,2,No,86.7,Yes,Completed
PUB-0075,2025-07-30,2025-08-05,2025-07-31,Editorial,Illustration,Medium,AI-Assisted,Structured v3,33,9.0,13.0,4.0,5862.76,8436.67,2573.91,0,Yes,90.8,Yes,Completed
PUB-0076,2025-01-27,2025-02-11,2025-02-03,Editorial,Workbook,Medium,Manual,Manual / NA,158,56.0,62.9,6.9,57168.11,64249.6,7081.49,0,Yes,87.3,Yes,Completed
PUB-0077,2026-01-06,2026-01-16,2026-01-07,Design,School Textbook,Medium,AI-Assisted,Visual Brief,19,6.8,10.6,3.8,5445.54,8519.54,3074.0,0,Yes,99,Yes,Completed
PUB-0078,2025-04-21,2025-05-03,2025-04-25,Design,E-book,Low,AI-Assisted,Structured v3,163,32.6,51.8,19.2,30731.44,48857.61,18126.17,0,Yes,92.9,Yes,Completed
PUB-0079,2026-04-10,2026-04-18,2026-04-15,Design,Workbook,High,Manual,Manual / NA,37,25.4,24.6,0,25664.67,24832.45,0,1,No,84.1,Yes,Completed
PUB-0080,2025-04-08,2025-04-28,2025-04-18,Editorial,Workbook,High,AI-Assisted,Visual Brief,183,61.5,90.5,29.0,42841.83,63064.06,20222.23,2,No,90.8,Yes,Completed
PUB-0081,2025-12-04,2025-12-22,2025-12-17,Production,Workbook,Medium,Manual,Manual / NA,200,100.0,112.3,12.3,79381.47,89143.11,9761.64,0,Yes,90.2,Yes,Completed
PUB-0082,2025-04-21,2025-05-01,2025-04-23,Design,Assessment,High,AI-Assisted,Structured v3,32,16.5,23.1,6.6,17477.02,24425.73,6948.71,0,Yes,93.0,Yes,Completed
PUB-0083,2025-10-01,2025-10-12,2025-10-08,Editorial,Workbook,Medium,Manual,Manual / NA,94,34.2,37.6,3.4,33470.59,36789.73,3319.14,2,No,84.2,Yes,Completed
PUB-0084,2026-04-10,2026-04-30,2026-04-29,Design,Workbook,High,Manual,Manual / NA,206,141.1,133.6,0,102691.16,97202.71,0,0,Yes,84.6,Yes,Completed
PUB-0085,2026-03-30,2026-04-14,,Production,Workbook,Medium,AI-Assisted,Structured v3,201,44.4,87.6,43.2,43916.44,86669.23,42752.79,0,,84.3,,In Progress
PUB-0086,2025-02-26,2025-03-08,2025-02-28,Editorial,Workbook,Medium,AI-Assisted,Structured v3,73,16.9,28.2,11.3,14624.03,24408.25,9784.22,0,Yes,88.2,Yes,Completed
PUB-0087,2025-12-29,2026-01-04,2025-12-30,Editorial,E-book,High,AI-Assisted,Structured v3,27,10.7,17.3,6.6,10750.82,17427.19,6676.37,0,Yes,89.8,Yes,Completed
PUB-0088,2026-04-17,2026-04-24,2026-04-19,Digital Learning,E-book,Medium,AI-Assisted,Visual Brief,70,15.6,31.4,15.8,16930.09,34041.34,17111.25,0,Yes,89.7,Yes,Completed
PUB-0089,2025-03-20,2025-04-04,2025-03-28,Design,School Textbook,Medium,AI-Assisted,Visual Brief,97,35.2,55.4,20.2,25479.34,40078.2,14598.86,1,No,88.9,Yes,Completed
PUB-0090,2026-05-21,2026-05-29,2026-05-23,Design,Assessment,High,AI-Assisted,Editorial QA,45,15.3,29.6,14.3,10467.39,20237.28,9769.89,0,Yes,91.8,Yes,Completed
PUB-0091,2025-12-27,2026-01-19,,Design,Workbook,Medium,AI-Assisted,Structured v3,220,78.9,110.4,31.5,54847.2,76745.66,21898.46,0,,83.6,,In Review
PUB-0092,2026-04-06,2026-04-16,2026-04-07,Digital Learning,Assessment,Low,AI-Assisted,Editorial QA,68,10.5,20.8,10.3,11545.42,22906.78,11361.36,0,Yes,93.8,Yes,Completed
PUB-0093,2025-06-26,2025-07-07,2025-06-30,Editorial,Illustration,Medium,Manual,Manual / NA,70,32.8,30.8,0,27673.63,25989.61,0,0,Yes,84.2,Yes,Completed
PUB-0094,2025-12-04,2025-12-13,2025-12-05,Editorial,Illustration,Medium,AI-Assisted,Editorial QA,23,5.8,11.2,5.4,4784.48,9262.64,4478.16,0,Yes,87.4,Yes,Completed
PUB-0095,2025-03-28,2025-04-15,2025-04-10,Editorial,Workbook,Low,Manual,Manual / NA,216,97.5,91.1,0,111986.75,104693.24,0,0,Yes,91.8,Yes,Completed
PUB-0096,2025-11-13,2025-11-27,2025-11-21,Editorial,School Textbook,Low,Manual,Manual / NA,132,57.2,62.8,5.6,45639.65,50090.83,4451.18,0,Yes,89.5,Yes,Completed
PUB-0097,2026-06-24,2026-06-28,2026-06-26,Editorial,Workbook,Medium,Manual,Manual / NA,41,14.8,16.2,1.4,14747.06,16093.58,1346.52,0,Yes,92.2,Yes,Completed
PUB-0098,2025-09-01,2025-09-07,2025-09-04,Digital Learning,Assessment,Low,Manual,Manual / NA,61,22.1,20.6,0,23032.29,21509.77,0,0,Yes,80.0,Yes,Completed
PUB-0099,2026-03-28,2026-04-04,2026-03-30,Design,Workbook,High,AI-Assisted,Few-shot v2,49,17.8,34.7,16.9,13795.03,26882.01,13086.98,0,Yes,93.9,Yes,Completed
PUB-0100,2025-05-08,2025-05-12,2025-05-09,Editorial,Illustration,High,AI-Assisted,Visual Brief,22,7.7,11.0,3.3,8149.31,11684.56,3535.25,0,Yes,84.0,Yes,Completed
PUB-0101,2026-05-30,2026-06-11,2026-06-07,Design,Workbook,High,AI-Assisted,Structured v3,89,40.7,64.0,23.3,42559.6,66905.16,24345.56,1,No,91.5,Yes,Completed
PUB-0102,2025-01-06,2025-01-21,2025-01-14,Digital Learning,School Textbook,Medium,AI-Assisted,Structured v3,194,58.6,87.9,29.3,45052.86,67582.76,22529.9,0,Yes,81.6,Yes,Completed
PUB-0103,2026-04-14,2026-04-26,2026-04-17,Editorial,Illustration,Medium,AI-Assisted,Few-shot v2,69,19.7,35.7,16.0,12820.41,23263.84,10443.43,0,Yes,85.8,Yes,Completed
PUB-0104,2026-01-05,2026-01-09,2026-01-06,Editorial,Assessment,Medium,AI-Assisted,Visual Brief,6,1.8,2.8,1.0,2052.94,3171.3,1118.36,0,Yes,87.5,Yes,Completed
PUB-0105,2025-12-20,2025-12-27,2025-12-21,Editorial,Assessment,Low,AI-Assisted,Editorial QA,46,9.3,16.5,7.2,9034.0,16030.7,6996.7,0,Yes,82.8,Yes,Completed
PUB-0106,2025-05-19,2025-05-29,2025-05-20,Editorial,Illustration,High,AI-Assisted,Structured v3,9,3.7,6.6,2.9,2978.64,5306.73,2328.09,0,Yes,74.8,Yes,Completed
PUB-0107,2025-02-07,2025-02-19,2025-02-12,Production,School Textbook,Medium,AI-Assisted,Editorial QA,175,38.5,67.8,29.3,42147.62,74215.15,32067.53,0,Yes,93.3,Yes,Completed
PUB-0108,2026-01-12,2026-01-17,2026-01-15,Digital Learning,Assessment,Low,Manual,Manual / NA,58,24.5,23.4,0,22607.06,21615.29,0,0,Yes,81.7,Yes,Completed
PUB-0109,2025-11-10,2025-11-16,2025-11-12,Design,Illustration,Low,AI-Assisted,Few-shot v2,61,15.6,27.6,12.0,17925.57,31693.15,13767.58,0,Yes,99,Yes,Completed
PUB-0110,2026-01-08,2026-01-16,2026-01-10,Design,Illustration,Low,AI-Assisted,Structured v3,60,12.3,18.4,6.1,10247.92,15363.33,5115.41,0,Yes,87.3,Yes,Completed
PUB-0111,2026-04-06,2026-04-19,,Digital Learning,Workbook,Low,Manual,Manual / NA,154,52.5,55.7,3.2,41440.61,43931.19,2490.58,0,,88.5,,In Review
PUB-0112,2025-05-01,2025-05-14,,Editorial,Workbook,Medium,AI-Assisted,Visual Brief,81,24.8,47.0,22.2,17803.03,33707.72,15904.69,1,,88.0,,In Progress
PUB-0113,2025-11-24,2025-12-01,2025-11-27,Production,Illustration,High,AI-Assisted,Structured v3,42,20.1,28.6,8.5,19473.89,27748.05,8274.16,0,Yes,86.2,Yes,Completed
PUB-0114,2026-05-21,2026-05-29,2026-05-22,Editorial,Assessment,Medium,AI-Assisted,Editorial QA,20,4.2,7.6,3.4,4829.15,8714.72,3885.57,0,Yes,88.8,Yes,Completed
PUB-0115,2025-03-17,2025-04-04,2025-03-24,Editorial,Workbook,Medium,AI-Assisted,Few-shot v2,140,51.7,77.4,25.7,50143.67,75109.96,24966.29,0,Yes,94.7,Yes,Completed
PUB-0116,2026-06-15,2026-06-27,2026-06-22,Editorial,School Textbook,High,AI-Assisted,Editorial QA,96,32.9,60.1,27.2,22682.25,41424.56,18742.31,3,No,83.0,Yes,Completed
PUB-0117,2025-04-06,2025-04-11,,Design,School Textbook,Low,Manual,Manual / NA,47,20.3,19.2,0,16621.84,15695.96,0,0,,95.6,,In Review
PUB-0118,2025-09-29,2025-10-10,2025-10-07,Production,Illustration,High,AI-Assisted,Editorial QA,67,26.9,42.5,15.6,21548.17,34007.32,12459.15,2,No,88.6,Yes,Completed
PUB-0119,2025-03-03,2025-03-12,2025-03-05,Editorial,Workbook,Medium,AI-Assisted,Few-shot v2,44,15.0,22.8,7.8,16205.83,24626.11,8420.28,0,Yes,92.6,Yes,Completed
PUB-0120,2026-04-23,2026-05-07,2026-04-29,Editorial,Workbook,High,AI-Assisted,Structured v3,106,45.0,63.2,18.2,49551.99,69639.7,20087.71,0,Yes,92.9,Yes,Completed
PUB-0121,2025-06-13,2025-06-21,2025-06-14,Design,Assessment,Low,AI-Assisted,Structured v3,6,1.3,2.2,0.9,1001.47,1692.37,690.9,0,Yes,93.3,Yes,Completed
PUB-0122,2025-10-20,2025-11-05,2025-10-26,Design,E-book,Medium,AI-Assisted,Visual Brief,194,42.7,87.1,44.4,28847.22,58809.74,29962.52,0,Yes,90.3,Yes,Completed
PUB-0123,2026-01-31,2026-02-08,2026-02-01,Design,Illustration,Low,AI-Assisted,Visual Brief,19,3.4,5.9,2.5,3887.54,6791.97,2904.43,0,Yes,87.0,Yes,Completed
PUB-0124,2025-02-11,2025-02-24,2025-02-15,Editorial,School Textbook,Low,AI-Assisted,Few-shot v2,124,29.1,56.6,27.5,32466.42,63129.66,30663.24,0,Yes,91.3,Yes,Completed
PUB-0125,2025-11-03,2025-11-13,2025-11-04,Production,Assessment,Medium,AI-Assisted,Few-shot v2,42,8.5,15.3,6.8,5990.82,10764.96,4774.14,0,Yes,84.8,Yes,Completed
PUB-0126,2026-05-01,2026-05-11,2026-05-03,Editorial,Assessment,Medium,Manual,Manual / NA,33,14.7,16.1,1.4,14178.34,15544.45,1366.11,0,Yes,96.0,Yes,Completed
PUB-0127,2025-09-06,2025-09-18,2025-09-09,Editorial,E-book,Medium,AI-Assisted,Structured v3,88,21.0,39.7,18.7,18919.1,35743.51,16824.41,0,Yes,78.5,Yes,Completed
PUB-0128,2026-06-16,2026-07-01,2026-06-20,Editorial,Workbook,High,AI-Assisted,Few-shot v2,88,32.6,53.6,21.0,30094.25,49447.25,19353.0,0,Yes,90.9,Yes,Completed
PUB-0129,2025-09-28,2025-10-11,2025-10-02,Production,School Textbook,High,AI-Assisted,Few-shot v2,65,32.9,49.4,16.5,32980.62,49550.27,16569.65,0,Yes,82.7,Yes,Completed
PUB-0130,2025-05-05,2025-05-14,2025-05-15,Production,Assessment,High,Manual,Manual / NA,54,42.3,40.6,0,33638.07,32310.52,0,2,No,82.2,No,Completed
PUB-0131,2026-05-06,2026-05-10,2026-05-07,Editorial,Illustration,Low,AI-Assisted,Few-shot v2,38,9.6,15.4,5.8,7403.8,11906.38,4502.58,0,Yes,81.3,Yes,Completed
PUB-0132,2026-04-29,2026-05-05,2026-04-30,Editorial,Illustration,Medium,AI-Assisted,Few-shot v2,24,9.4,13.6,4.2,8354.01,12066.18,3712.17,0,Yes,87.5,Yes,Completed
PUB-0133,2025-03-02,2025-03-23,2025-03-11,Digital Learning,School Textbook,High,AI-Assisted,Few-shot v2,193,65.8,93.8,28.0,56518.42,80572.29,24053.87,0,Yes,90.4,Yes,Completed
PUB-0134,2025-07-10,2025-07-19,2025-07-11,Digital Learning,E-book,Low,Manual,Manual / NA,17,6.1,6.8,0.7,6963.13,7716.78,753.65,0,Yes,84.4,Yes,Completed
PUB-0135,2025-05-18,2025-05-24,2025-05-20,Digital Learning,Workbook,Medium,AI-Assisted,Structured v3,49,16.1,24.6,8.5,10578.38,16181.97,5603.59,0,Yes,86.7,Yes,Completed
PUB-0136,2026-02-20,2026-02-27,,Digital Learning,Assessment,High,AI-Assisted,Editorial QA,27,11.7,16.6,4.9,7644.96,10829.72,3184.76,0,,96.9,,In Progress
PUB-0137,2025-11-06,2025-11-12,2025-11-07,Production,Assessment,Low,AI-Assisted,Few-shot v2,34,6.0,10.8,4.8,5116.25,9176.8,4060.55,0,Yes,95.8,Yes,Completed
PUB-0138,2025-10-30,2025-11-11,2025-11-06,Design,School Textbook,Low,Manual,Manual / NA,130,56.0,55.9,0,48043.68,47968.07,0,0,Yes,79.7,Yes,Completed
PUB-0139,2025-08-12,2025-08-22,2025-08-15,Production,Illustration,Medium,AI-Assisted,Editorial QA,61,18.8,26.8,8.0,13274.76,18934.3,5659.54,0,Yes,92.0,Yes,Completed
