date,flight_id,airline,route,terminal,scheduled_departure,seat_capacity,passengers,departure_delay_min,delay_cause,security_wait_min,baggage_delivery_min,satisfaction_score
2026-01-02,SP1050,SpiceJet,DEL-LKO,T2,14:00,174,137,0,None,11.2,21.5,4.3
2026-01-02,AK1051,Akasa Air,DEL-CCU,T1,17:00,189,168,0,None,8.9,13.3,4.6
2026-01-02,VI1052,Vistara,DEL-CCU,T2,10:30,188,153,0,None,13.8,16.9,4.4
2026-01-02,VI1053,Vistara,DEL-GOI,T1,17:45,188,159,0,None,11.1,14.4,4.2
2026-01-02,VI1054,Vistara,DEL-GOI,T3,19:15,188,159,1,None,20.0,15.4,4.2
2026-01-02,SP1055,SpiceJet,DEL-BLR,T3,15:00,174,169,40,Air Traffic,12.9,26.4,3.7
2026-01-02,SP1056,SpiceJet,DEL-JAI,T1,16:15,174,133,17,Weather,14.1,13.7,4.1
2026-01-02,AK1057,Akasa Air,DEL-LKO,T2,13:15,189,147,4,None,8.0,13.4,4.5
2026-01-02,AI1058,Air India,DEL-GOI,T3,08:30,180,160,9,None,18.1,16.3,4.0
2026-01-02,SP1059,SpiceJet,DEL-BLR,T3,21:15,174,150,9,None,13.7,14.8,4.0
2026-01-02,AI1060,Air India,DEL-GOI,T3,07:45,180,172,1,None,17.7,12.9,4.1
2026-01-02,VI1061,Vistara,DEL-JAI,T2,15:00,188,147,13,None,11.0,19.2,4.4
2026-01-02,VI1062,Vistara,DEL-BOM,T3,09:45,188,153,0,None,18.9,21.1,4.2
2026-01-02,VI1063,Vistara,DEL-PNQ,T3,19:00,188,157,0,None,16.4,13.5,4.4
2026-01-02,SP1064,SpiceJet,DEL-BLR,T2,11:45,174,147,18,Late Aircraft,13.0,15.4,4.0
2026-01-02,SP1065,SpiceJet,DEL-BOM,T1,15:15,174,145,58,Technical,15.2,20.0,3.7
2026-01-02,VI1066,Vistara,DEL-BOM,T2,08:45,188,138,44,Late Aircraft,14.3,21.6,3.9
2026-01-02,SP1067,SpiceJet,DEL-JAI,T1,15:45,174,146,4,None,15.4,11.6,4.1
2026-01-03,VI1068,Vistara,DEL-GOI,T3,10:45,188,182,0,None,7.2,12.7,4.4
2026-01-03,SP1069,SpiceJet,DEL-PNQ,T3,22:45,174,136,13,None,13.1,16.3,4.3
2026-01-03,SP1070,SpiceJet,DEL-HYD,T2,06:15,174,129,0,None,7.7,17.6,4.3
2026-01-03,IN1071,IndiGo,DEL-JAI,T3,10:45,186,168,7,None,16.5,11.0,4.3
2026-01-03,VI1072,Vistara,DEL-JAI,T3,06:00,188,175,0,None,8.0,15.3,4.5
2026-01-03,SP1073,SpiceJet,DEL-HYD,T3,20:15,174,139,10,None,11.8,18.9,4.3
2026-01-03,AI1074,Air India,DEL-HYD,T1,19:45,180,141,10,None,22.6,14.5,4.0
2026-01-03,VI1075,Vistara,DEL-HYD,T1,21:45,188,158,37,Late Aircraft,11.0,26.0,3.8
2026-01-03,SP1076,SpiceJet,DEL-BLR,T1,15:45,174,125,18,Air Traffic,10.9,22.2,4.4
2026-01-03,VI1077,Vistara,DEL-CCU,T3,11:15,188,148,0,None,13.2,10.2,4.4
2026-01-03,IN1078,IndiGo,DEL-BOM,T2,13:30,186,151,7,None,9.7,14.9,4.5
2026-01-03,AK1079,Akasa Air,DEL-GOI,T3,10:45,189,188,12,None,11.3,25.2,4.4
2026-01-03,IN1080,IndiGo,DEL-HYD,T3,09:45,186,153,2,None,15.3,17.2,4.3
2026-01-03,VI1081,Vistara,DEL-GOI,T3,19:15,188,160,30,Late Aircraft,12.7,11.5,3.9
2026-01-03,IN1082,IndiGo,DEL-JAI,T3,10:30,186,139,27,Technical,18.6,18.4,3.8
2026-01-03,AK1083,Akasa Air,DEL-LKO,T3,17:30,189,162,23,Weather,6.8,23.2,4.0
2026-01-03,AI1084,Air India,DEL-JAI,T2,09:45,180,149,19,Air Traffic,15.7,18.4,4.2
2026-01-03,IN1085,IndiGo,DEL-CCU,T3,15:15,186,146,14,None,15.7,21.2,3.9
2026-01-03,AK1086,Akasa Air,DEL-CCU,T3,09:15,189,182,12,None,14.1,18.7,4.0
2026-01-03,IN1087,IndiGo,DEL-BOM,T1,11:00,186,150,13,None,11.5,18.6,4.3
2026-01-03,IN1088,IndiGo,DEL-JAI,T2,11:45,186,135,0,None,11.6,18.7,4.4
2026-01-03,IN1089,IndiGo,DEL-BOM,T3,19:15,186,159,0,None,19.0,16.2,4.0
2026-01-03,IN1090,IndiGo,DEL-HYD,T2,16:00,186,149,0,None,19.6,12.8,4.3
2026-01-03,AK1091,Akasa Air,DEL-CCU,T2,20:30,189,157,8,None,10.7,13.8,4.2
2026-01-03,VI1092,Vistara,DEL-HYD,T3,14:30,188,179,19,Crew,14.6,12.7,4.1
2026-01-03,IN1093,IndiGo,DEL-LKO,T2,16:15,186,136,2,None,10.4,20.4,4.2
2026-01-03,AI1094,Air India,DEL-JAI,T1,08:00,180,141,0,None,19.8,12.4,4.3
2026-01-03,AK1095,Akasa Air,DEL-GOI,T1,10:00,189,154,15,None,11.7,19.5,4.3
2026-01-03,AI1096,Air India,DEL-BOM,T1,14:00,180,166,1,None,11.5,17.9,4.1
2026-01-03,AI1097,Air India,DEL-HYD,T3,07:00,180,163,0,None,9.8,17.4,4.3
2026-01-03,VI1098,Vistara,DEL-LKO,T1,16:15,188,156,0,None,10.6,16.6,4.3
2026-01-03,AI1099,Air India,DEL-GOI,T2,08:30,180,138,7,None,12.6,21.5,4.3
2026-01-03,IN1100,IndiGo,DEL-LKO,T3,06:30,186,155,29,Late Aircraft,10.2,15.9,4.0
2026-01-03,AI1101,Air India,DEL-JAI,T3,21:30,180,141,0,None,9.9,14.4,4.4
2026-01-04,VI1102,Vistara,DEL-CCU,T2,09:30,188,187,19,Air Traffic,18.4,16.3,3.8
2026-01-04,AI1103,Air India,DEL-HYD,T3,18:45,180,178,3,None,15.7,13.9,4.3
2026-01-04,AK1104,Akasa Air,DEL-PNQ,T3,16:00,189,168,20,Crew,14.3,16.8,4.0
2026-01-04,IN1105,IndiGo,DEL-PNQ,T3,07:00,186,166,12,None,9.7,17.2,4.3
2026-01-04,SP1106,SpiceJet,DEL-CCU,T2,14:45,174,174,13,None,11.5,22.4,4.0
2026-01-04,SP1107,SpiceJet,DEL-HYD,T2,20:45,174,127,17,Late Aircraft,9.2,14.9,4.1
2026-01-04,VI1108,Vistara,DEL-GOI,T3,16:15,188,184,71,Late Aircraft,11.1,17.3,3.6
2026-01-04,AK1109,Akasa Air,DEL-BLR,T2,12:45,189,181,24,Late Aircraft,10.7,11.8,4.1
2026-01-04,AK1110,Akasa Air,DEL-PNQ,T1,10:00,189,143,30,Air Traffic,15.3,24.9,3.7
2026-01-04,VI1111,Vistara,DEL-HYD,T3,08:15,188,179,19,Crew,19.6,21.4,3.9
2026-01-04,SP1112,SpiceJet,DEL-GOI,T3,18:45,174,170,10,None,25.8,19.4,3.9
2026-01-04,SP1113,SpiceJet,DEL-GOI,T3,14:30,174,165,25,Crew,14.5,20.2,4.1
2026-01-04,AK1114,Akasa Air,DEL-BLR,T3,14:15,189,185,14,None,13.9,20.1,4.4
2026-01-04,SP1115,SpiceJet,DEL-PNQ,T3,13:30,174,174,18,Air Traffic,12.5,18.3,4.3
2026-01-04,AI1116,Air India,DEL-HYD,T1,20:45,180,129,18,Late Aircraft,6.6,20.3,4.4
2026-01-04,IN1117,IndiGo,DEL-GOI,T1,08:00,186,176,12,None,14.6,17.9,4.3
2026-01-04,AK1118,Akasa Air,DEL-CCU,T3,10:00,189,172,0,None,16.1,26.3,4.0
2026-01-04,SP1119,SpiceJet,DEL-JAI,T1,12:30,174,164,25,Weather,8.3,23.3,4.2
2026-01-04,AI1120,Air India,DEL-BOM,T2,11:00,180,138,17,Late Aircraft,7.0,21.8,4.5
2026-01-04,VI1121,Vistara,DEL-CCU,T1,09:15,188,188,22,Late Aircraft,13.8,17.0,4.2
2026-01-04,VI1122,Vistara,DEL-PNQ,T3,07:15,188,183,5,None,18.3,16.8,4.1
2026-01-04,SP1123,SpiceJet,DEL-JAI,T2,18:30,174,161,0,None,19.6,19.6,4.3
2026-01-04,VI1124,Vistara,DEL-BLR,T1,16:45,188,159,0,None,9.1,10.9,4.6
2026-01-04,VI1125,Vistara,DEL-BOM,T1,16:45,188,171,14,None,12.6,16.8,4.2
2026-01-04,IN1126,IndiGo,DEL-HYD,T1,18:00,186,141,0,None,18.6,13.3,4.2
2026-01-04,AK1127,Akasa Air,DEL-HYD,T2,12:00,189,188,12,None,12.9,17.8,4.2
2026-01-04,VI1128,Vistara,DEL-GOI,T3,09:45,188,141,0,None,7.8,19.6,4.7
2026-01-04,IN1129,IndiGo,DEL-PNQ,T3,17:15,186,181,0,None,15.8,11.9,4.5
2026-01-04,VI1130,Vistara,DEL-CCU,T1,09:00,188,166,9,None,15.3,8,4.0
2026-01-04,IN1131,IndiGo,DEL-GOI,T2,17:00,186,174,15,None,11.5,16.1,4.4
2026-01-04,SP1132,SpiceJet,DEL-JAI,T3,11:00,174,163,11,None,8.8,20.6,4.5
2026-01-04,AK1133,Akasa Air,DEL-HYD,T2,08:30,189,187,50,Air Traffic,20.6,14.0,3.4
2026-01-04,AI1134,Air India,DEL-GOI,T3,08:00,180,163,0,None,15.8,16.0,4.4
2026-01-04,IN1135,IndiGo,DEL-BLR,T1,16:30,186,144,0,None,7.3,14.6,4.2
2026-01-05,VI1136,Vistara,DEL-JAI,T1,18:30,188,154,0,None,17.3,14.3,4.3
2026-01-05,VI1137,Vistara,DEL-PNQ,T3,08:15,188,136,9,None,18.1,19.4,4.1
2026-01-05,IN1138,IndiGo,DEL-BOM,T2,12:15,186,172,8,None,17.0,23.1,4.0
2026-01-05,SP1139,SpiceJet,DEL-JAI,T2,10:00,174,146,0,None,13.0,16.4,4.3
2026-01-05,VI1140,Vistara,DEL-JAI,T3,19:30,188,153,8,None,18.4,22.0,4.2
2026-01-05,IN1141,IndiGo,DEL-LKO,T1,15:00,186,132,0,None,5.9,16.8,4.4
2026-01-05,AI1142,Air India,DEL-BLR,T2,18:45,180,145,27,Late Aircraft,14.1,19.0,4.1
2026-01-05,AK1143,Akasa Air,DEL-JAI,T1,20:30,189,148,9,None,7.8,20.8,4.5
2026-01-05,AK1144,Akasa Air,DEL-JAI,T3,10:00,189,162,0,None,16.3,18.9,4.3
2026-01-05,AK1145,Akasa Air,DEL-JAI,T1,16:45,189,170,55,Late Aircraft,9.4,17.7,3.8
2026-01-05,AI1146,Air India,DEL-CCU,T1,21:00,180,135,18,Late Aircraft,11.3,12.1,4.1
2026-01-05,AI1147,Air India,DEL-CCU,T3,23:30,180,141,8,None,16.1,25.1,4.1
2026-01-05,VI1148,Vistara,DEL-JAI,T1,10:45,188,172,13,None,19.0,15.7,4.0
2026-01-05,VI1149,Vistara,DEL-GOI,T2,15:30,188,174,0,None,16.2,15.0,4.1
2026-01-05,IN1150,IndiGo,DEL-PNQ,T3,16:15,186,179,13,None,18.5,16.7,4.1
2026-01-05,AI1151,Air India,DEL-BOM,T3,14:15,180,129,2,None,11.4,21.0,4.4
2026-01-05,IN1152,IndiGo,DEL-HYD,T2,21:15,186,146,0,None,11.3,11.7,4.2
2026-01-05,AK1153,Akasa Air,DEL-BOM,T3,09:15,189,182,0,None,23.6,18.7,4.2
2026-01-05,VI1154,Vistara,DEL-BOM,T1,15:15,188,157,18,Late Aircraft,10.7,24.9,4.2
2026-01-05,IN1155,IndiGo,DEL-PNQ,T1,13:15,186,129,0,None,9.7,19.9,4.5
2026-01-05,AI1156,Air India,DEL-LKO,T3,14:45,180,149,4,None,11.3,17.6,4.3
2026-01-05,VI1157,Vistara,DEL-PNQ,T2,17:15,188,149,7,None,11.4,23.2,4.3
2026-01-05,SP1158,SpiceJet,DEL-GOI,T3,16:45,174,143,28,Late Aircraft,14.6,21.8,4.0
2026-01-05,AK1159,Akasa Air,DEL-CCU,T3,16:00,189,159,7,None,10.2,16.6,4.5
2026-01-05,IN1160,IndiGo,DEL-CCU,T3,08:00,186,167,2,None,17.8,8.5,4.2
2026-01-05,SP1161,SpiceJet,DEL-HYD,T2,13:00,174,154,10,None,10.8,18.1,4.1
2026-01-05,AI1162,Air India,DEL-BLR,T1,11:45,180,149,36,Technical,10.7,17.7,3.8
2026-01-05,VI1163,Vistara,DEL-LKO,T2,20:30,188,167,15,None,9.0,13.3,4.3
2026-01-05,IN1164,IndiGo,DEL-HYD,T3,12:15,186,153,31,Technical,12.2,17.3,3.9
2026-01-05,AI1165,Air India,DEL-JAI,T2,10:00,180,126,64,Crew,8.8,14.6,3.9
2026-01-05,AI1166,Air India,DEL-CCU,T1,15:00,180,163,0,None,5.6,14.6,4.4
2026-01-05,AI1167,Air India,DEL-GOI,T1,20:15,180,155,13,None,9.8,14.3,4.1
2026-01-05,AK1168,Akasa Air,DEL-CCU,T2,10:45,189,165,0,None,8.3,12.8,4.7
2026-01-05,AK1169,Akasa Air,DEL-PNQ,T3,12:15,189,172,14,None,7.2,18.8,4.2
2026-01-06,SP1170,SpiceJet,DEL-BOM,T3,22:15,174,137,14,None,14.7,21.3,4.1
2026-01-06,IN1171,IndiGo,DEL-GOI,T2,16:45,186,138,14,None,11.4,11.1,4.2
2026-01-06,AI1172,Air India,DEL-PNQ,T2,20:15,180,176,15,None,15.6,14.6,4.1
2026-01-06,SP1173,SpiceJet,DEL-CCU,T2,18:45,174,153,9,None,15.0,20.8,4.4
2026-01-06,IN1174,IndiGo,DEL-JAI,T3,11:45,186,168,7,None,13.8,22.3,4.3
2026-01-06,VI1175,Vistara,DEL-HYD,T1,09:45,188,157,10,None,13.4,12.3,4.1
2026-01-06,SP1176,SpiceJet,DEL-JAI,T1,18:00,174,170,5,None,12.6,21.9,4.4
2026-01-06,IN1177,IndiGo,DEL-BOM,T2,19:45,186,136,4,None,16.6,21.5,4.0
2026-01-06,SP1178,SpiceJet,DEL-BOM,T1,15:15,174,121,0,None,10.6,19.3,4.5
2026-01-06,IN1179,IndiGo,DEL-BLR,T2,09:45,186,172,0,None,15.7,21.0,4.2
2026-01-06,SP1180,SpiceJet,DEL-CCU,T3,09:00,174,125,18,Crew,14.4,13.9,3.9
2026-01-06,AI1181,Air India,DEL-BLR,T2,13:45,180,175,18,Technical,16.3,12.1,3.9
2026-01-06,VI1182,Vistara,DEL-BOM,T3,16:45,188,180,0,None,11.8,13.0,4.4
2026-01-06,IN1183,IndiGo,DEL-GOI,T1,09:00,186,157,36,Late Aircraft,12.3,22.6,4.1
2026-01-06,AK1184,Akasa Air,DEL-PNQ,T1,13:45,189,152,0,None,15.3,17.1,4.2
2026-01-06,SP1185,SpiceJet,DEL-CCU,T2,21:15,174,150,5,None,7.2,21.9,4.3
2026-01-06,IN1186,IndiGo,DEL-BLR,T1,12:30,186,134,15,None,13.5,21.0,4.1
2026-01-06,IN1187,IndiGo,DEL-HYD,T1,13:30,186,150,8,None,13.8,17.9,4.0
2026-01-06,SP1188,SpiceJet,DEL-BOM,T2,12:45,174,129,29,Late Aircraft,7.2,16.4,4.0
2026-01-06,AI1189,Air India,DEL-BLR,T1,10:15,180,143,12,None,15.5,15.2,4.1
2026-01-06,SP1190,SpiceJet,DEL-BLR,T1,05:15,174,142,14,None,8.5,10.7,4.3
2026-01-06,VI1191,Vistara,DEL-PNQ,T3,17:15,188,183,17,Technical,11.8,23.6,4.1
2026-01-06,VI1192,Vistara,DEL-LKO,T2,18:15,188,140,15,None,15.2,17.6,4.2
2026-01-06,SP1193,SpiceJet,DEL-GOI,T3,07:15,174,154,5,None,14.6,19.8,4.1
2026-01-06,SP1194,SpiceJet,DEL-LKO,T1,23:00,174,141,0,None,13.1,27.2,4.4
2026-01-06,IN1195,IndiGo,DEL-CCU,T3,11:30,186,159,15,None,10.3,13.0,4.4
2026-01-06,SP1196,SpiceJet,DEL-BLR,T1,10:15,174,131,0,None,10.5,13.9,4.5
2026-01-06,VI1197,Vistara,DEL-BOM,T2,10:15,188,181,41,Weather,12.6,21.1,3.8
2026-01-06,AK1198,Akasa Air,DEL-JAI,T2,08:15,189,175,4,None,16.3,23.0,4.3
2026-01-06,AI1199,Air India,DEL-HYD,T2,11:00,180,145,23,Air Traffic,12.7,23.0,4.0
2026-01-06,AK1200,Akasa Air,DEL-CCU,T2,13:15,189,175,10,None,13.4,19.1,4.4
2026-01-06,VI1201,Vistara,DEL-PNQ,T1,08:00,188,158,10,None,13.4,13.2,4.3
2026-01-06,VI1202,Vistara,DEL-PNQ,T3,16:00,188,162,5,None,10.6,15.5,4.2
2026-01-06,AI1203,Air India,DEL-PNQ,T3,14:15,180,154,0,None,9.9,19.1,4.4
2026-01-07,AK1204,Akasa Air,DEL-HYD,T2,08:45,189,183,4,None,16.3,14.5,4.1
2026-01-07,SP1205,SpiceJet,DEL-JAI,T2,19:15,174,149,9,None,16.6,14.6,3.9
2026-01-07,AK1206,Akasa Air,DEL-GOI,T1,13:00,189,162,10,None,7.2,16.8,4.6
2026-01-07,SP1207,SpiceJet,DEL-CCU,T3,08:45,174,170,23,Air Traffic,15.4,19.0,4.1
2026-01-07,IN1208,IndiGo,DEL-CCU,T1,17:30,186,136,19,Weather,7.8,18.4,4.0
2026-01-07,AK1209,Akasa Air,DEL-GOI,T3,09:00,189,145,52,Air Traffic,23.5,9.8,3.5
2026-01-07,AI1210,Air India,DEL-LKO,T3,23:15,180,141,25,Weather,17.3,18.0,3.9
2026-01-07,AK1211,Akasa Air,DEL-GOI,T3,12:45,189,172,31,Late Aircraft,10.9,10.4,4.0
2026-01-07,VI1212,Vistara,DEL-BOM,T3,19:15,188,133,25,Air Traffic,17.3,15.1,3.9
2026-01-07,SP1213,SpiceJet,DEL-GOI,T2,10:00,174,149,6,None,8.3,17.5,4.5
2026-01-07,IN1214,IndiGo,DEL-BLR,T3,19:15,186,128,14,None,17.2,20.1,4.1
2026-01-07,VI1215,Vistara,DEL-HYD,T3,20:45,188,143,6,None,8.5,23.5,4.2
2026-01-07,VI1216,Vistara,DEL-CCU,T2,08:00,188,142,9,None,17.2,17.1,4.2
2026-01-07,SP1217,SpiceJet,DEL-HYD,T2,09:15,174,125,7,None,14.3,19.7,4.1
2026-01-07,AI1218,Air India,DEL-BLR,T2,05:15,180,163,0,None,12.8,21.8,4.3
2026-01-07,IN1219,IndiGo,DEL-BLR,T1,08:00,186,180,0,None,15.4,19.0,4.2
2026-01-07,AI1220,Air India,DEL-GOI,T3,17:15,180,156,2,None,10.9,18.6,4.4
2026-01-07,SP1221,SpiceJet,DEL-LKO,T1,14:45,174,121,19,Technical,9.3,20.3,4.1
2026-01-07,VI1222,Vistara,DEL-HYD,T3,21:30,188,141,12,None,13.1,26.0,4.1
2026-01-07,AK1223,Akasa Air,DEL-LKO,T2,12:15,189,164,0,None,10.6,20.4,4.4
2026-01-07,AI1224,Air India,DEL-PNQ,T2,16:45,180,147,6,None,10.0,20.0,4.2
2026-01-07,IN1225,IndiGo,DEL-JAI,T3,07:15,186,168,5,None,16.4,21.5,4.3
2026-01-07,SP1226,SpiceJet,DEL-PNQ,T2,18:45,174,157,11,None,17.4,23.7,4.0
2026-01-07,VI1227,Vistara,DEL-BLR,T1,22:30,188,149,25,Late Aircraft,7.1,17.9,4.1
2026-01-07,IN1228,IndiGo,DEL-BLR,T1,14:00,186,148,14,None,9.3,19.7,4.5
2026-01-07,AK1229,Akasa Air,DEL-LKO,T1,10:15,189,135,42,Air Traffic,8.5,21.9,4.1
2026-01-07,AI1230,Air India,DEL-BOM,T3,07:30,180,129,3,None,18.7,13.4,4.0
2026-01-07,AK1231,Akasa Air,DEL-CCU,T2,15:45,189,171,11,None,5.9,15.3,4.2
2026-01-07,IN1232,IndiGo,DEL-CCU,T2,16:45,186,168,19,Air Traffic,11.2,16.7,4.4
2026-01-07,SP1233,SpiceJet,DEL-BOM,T3,08:00,174,165,16,Technical,13.4,16.8,4.1
2026-01-07,AK1234,Akasa Air,DEL-BLR,T2,16:45,189,183,4,None,10.4,17.4,4.2
2026-01-07,VI1235,Vistara,DEL-PNQ,T2,09:45,188,162,43,Crew,17.0,20.5,3.7
2026-01-07,IN1236,IndiGo,DEL-PNQ,T3,09:15,186,172,7,None,19.5,15.2,4.1
2026-01-07,VI1237,Vistara,DEL-HYD,T1,10:45,188,146,26,Weather,11.8,15.7,4.3
2026-01-08,AK1238,Akasa Air,DEL-CCU,T1,08:00,189,138,11,None,16.7,19.1,4.2
2026-01-08,AK1239,Akasa Air,DEL-GOI,T3,07:30,189,155,30,Technical,17.5,24.3,4.0
2026-01-08,IN1240,IndiGo,DEL-BOM,T3,07:30,186,165,49,Weather,15.0,20.0,3.5
2026-01-08,SP1241,SpiceJet,DEL-HYD,T1,16:45,174,145,15,None,13.5,14.5,3.9
2026-01-08,AI1242,Air India,DEL-LKO,T1,20:45,180,176,0,None,7.0,17.8,4.5
2026-01-08,VI1243,Vistara,DEL-PNQ,T2,09:45,188,131,0,None,16.9,14.0,4.4
2026-01-08,AK1244,Akasa Air,DEL-PNQ,T3,23:45,189,174,57,Late Aircraft,15.6,18.4,3.8
2026-01-08,VI1245,Vistara,DEL-HYD,T1,15:15,188,149,0,None,7.1,13.6,4.4
2026-01-08,AK1246,Akasa Air,DEL-CCU,T3,18:15,189,143,21,Weather,17.5,18.7,3.7
2026-01-08,AI1247,Air India,DEL-PNQ,T3,20:30,180,132,22,Weather,12.5,15.6,3.9
2026-01-08,IN1248,IndiGo,DEL-PNQ,T3,16:30,186,168,3,None,15.3,11.8,4.2
2026-01-08,AI1249,Air India,DEL-PNQ,T1,15:45,180,163,15,None,10.5,19.9,4.0
2026-01-08,AK1250,Akasa Air,DEL-BOM,T1,11:30,189,182,0,None,8.2,21.2,4.3
2026-01-08,AI1251,Air India,DEL-BLR,T3,16:00,180,138,23,Late Aircraft,13.0,19.3,3.9
2026-01-08,IN1252,IndiGo,DEL-BOM,T2,17:15,186,149,60,Air Traffic,8.7,22.5,3.8
2026-01-08,AI1253,Air India,DEL-JAI,T1,19:15,180,138,0,None,18.2,19.2,4.4
2026-01-08,IN1254,IndiGo,DEL-BLR,T2,23:15,186,137,4,None,7.9,18.9,4.2
2026-01-08,AI1255,Air India,DEL-LKO,T3,17:45,180,159,4,None,12.6,18.9,4.2
