order_id,order_date,month,customer_id,customer_segment,region,city,category,product,channel,payment_method,quantity,unit_price,discount,sales,profit,shipping_days,returned
ORD100017,2025-09-29,2025-09,CUST5890,New Customer,North,Ahmedabad,Home & Kitchen,Lamp,Mobile App,Net Banking,3,348,0,1044,272.63,4,No
ORD100018,2025-12-08,2025-12,CUST9979,Returning Customer,South,Pune,Sports,Dumbbells,Website,Debit Card,6,65,0.1,351.0,89.88,8,No
ORD100019,2025-05-20,2025-05,CUST6162,New Customer,Central,Hyderabad,Books,Children Book,Mobile App,COD,3,44,0.15,112.2,24.23,1,No
ORD100020,2025-08-20,2025-08,CUST2274,New Customer,South,Kolkata,Home & Kitchen,Bedsheet,Marketplace,Net Banking,6,315,0.1,1701.0,299.12,3,No
ORD100021,2025-09-24,2025-09,CUST6206,Returning Customer,Central,Kolkata,Beauty,Serum,Marketplace,Credit Card,3,89,0.05,253.65,71.59,4,No
ORD100022,2025-10-09,2025-10,CUST4076,Premium Customer,West,Chennai,Grocery,Snacks,Website,Net Banking,1,57,0.1,51.3,5.12,2,No
ORD100023,2025-06-28,2025-06,CUST6309,Returning Customer,East,Bengaluru,Fashion,Dress,Mobile App,UPI,4,60,0.05,228.0,50.3,3,No
ORD100024,2025-03-21,2025-03,CUST4969,Returning Customer,Central,Delhi,Beauty,Perfume,Website,Debit Card,2,39,0.05,74.1,19.55,4,Yes
ORD100025,2025-07-10,2025-07,CUST3745,New Customer,North,Hyderabad,Beauty,Serum,Website,UPI,4,38,0,152,54.2,1,No
ORD100026,2025-11-21,2025-11,CUST1233,Returning Customer,East,Pune,Beauty,Shampoo,Website,COD,2,32,0.1,57.6,21.74,3,No
ORD100027,2025-12-31,2025-12,CUST8104,New Customer,West,Kolkata,Home & Kitchen,Lamp,Marketplace,UPI,1,306,0.05,290.7,75.23,2,No
ORD100028,2025-08-31,2025-08,CUST2591,Returning Customer,South,Pune,Grocery,Rice Pack,Website,Debit Card,4,53,0.25,159.0,22.54,6,No
ORD100029,2025-11-22,2025-11,CUST4308,New Customer,West,Pune,Beauty,Perfume,Website,Net Banking,3,93,0.2,223.2,81.67,3,No
ORD100030,2025-07-02,2025-07,CUST8539,New Customer,West,Lucknow,Fashion,T-Shirt,Mobile App,Credit Card,5,64,0,320,102.6,7,No
ORD100031,2025-08-24,2025-08,CUST8054,Returning Customer,Central,Lucknow,Fashion,Dress,Website,Debit Card,6,147,0.15,749.7,207.22,6,No
ORD100032,2025-10-20,2025-10,CUST7866,Premium Customer,South,Ahmedabad,Fashion,T-Shirt,Mobile App,Debit Card,5,17,0.15,72.25,22.96,9,No
ORD100033,2025-06-02,2025-06,CUST4490,New Customer,West,Chennai,Home & Kitchen,Cookware Set,Website,UPI,6,323,0,1938,360.31,9,No
ORD100034,2025-10-10,2025-10,CUST8211,New Customer,North,Pune,Electronics,Laptop,Marketplace,UPI,2,959,0.25,1438.5,170.66,4,Yes
ORD100035,2025-09-18,2025-09,CUST9273,Premium Customer,North,Lucknow,Home & Kitchen,Cookware Set,Mobile App,Debit Card,3,336,0.05,957.6,256.62,7,No
ORD100036,2025-10-27,2025-10,CUST2397,Returning Customer,East,Hyderabad,Electronics,Tablet,Marketplace,COD,6,865,0.1,4671.0,793.25,1,No
ORD100037,2025-05-01,2025-05,CUST9965,New Customer,West,Ahmedabad,Fashion,Jeans,Website,Debit Card,2,113,0,226,60.25,7,No
ORD100038,2025-10-16,2025-10,CUST5216,Returning Customer,Central,Bengaluru,Electronics,Headphones,Website,Credit Card,5,189,0.2,756.0,101.47,7,No
ORD100039,2025-08-08,2025-08,CUST4488,Returning Customer,Central,Bengaluru,Beauty,Makeup Kit,Website,UPI,1,119,0.15,101.15,37.77,8,No
ORD100040,2025-09-26,2025-09,CUST9207,Premium Customer,South,Jaipur,Books,Biography,Mobile App,COD,1,19,0,19,4.25,3,No
ORD100041,2025-11-15,2025-11,CUST3972,Returning Customer,West,Mumbai,Electronics,Laptop,Marketplace,COD,4,1059,0.2,3388.8,557.6,7,No
ORD100042,2025-03-02,2025-03,CUST4885,New Customer,West,Delhi,Books,Business Book,Marketplace,Debit Card,5,50,0,250,54.79,2,No
ORD100043,2025-01-19,2025-01,CUST6201,Returning Customer,West,Bengaluru,Beauty,Perfume,Marketplace,UPI,2,57,0.2,91.2,32.69,5,No
ORD100044,2025-01-17,2025-01,CUST1893,New Customer,West,Hyderabad,Sports,Football,Marketplace,Debit Card,2,139,0.15,236.3,33.75,1,No
ORD100045,2025-02-20,2025-02,CUST5132,Returning Customer,South,Kolkata,Beauty,Makeup Kit,Website,Debit Card,2,124,0.1,223.2,76.51,7,No
ORD100046,2025-09-13,2025-09,CUST1529,New Customer,North,Kolkata,Fashion,Dress,Website,UPI,3,161,0.15,410.55,110.97,7,No
ORD100047,2025-12-17,2025-12,CUST2882,Premium Customer,South,Hyderabad,Beauty,Serum,Mobile App,Credit Card,4,24,0.2,76.8,19.24,1,No
ORD100048,2025-06-26,2025-06,CUST6452,New Customer,West,Jaipur,Sports,Yoga Mat,Website,Debit Card,2,138,0.15,234.6,45.16,7,No
ORD100049,2025-07-13,2025-07,CUST1670,New Customer,North,Mumbai,Electronics,Laptop,Website,COD,2,1140,0.15,1938.0,237.69,5,No
ORD100050,2025-01-03,2025-01,CUST5227,Returning Customer,East,Lucknow,Fashion,Jacket,Website,UPI,3,29,0.05,82.65,20.25,7,No
ORD100051,2025-05-27,2025-05,CUST1580,Premium Customer,West,Mumbai,Sports,Dumbbells,Website,Net Banking,5,153,0.25,573.75,135.82,8,No
ORD100052,2025-07-16,2025-07,CUST4481,New Customer,North,Jaipur,Fashion,Jacket,Mobile App,Debit Card,6,168,0.15,856.8,284.53,8,No
ORD100053,2025-07-05,2025-07,CUST4816,Returning Customer,North,Kolkata,Books,Biography,Mobile App,COD,3,13,0.2,31.2,3.88,2,No
ORD100054,2025-01-21,2025-01,CUST1919,New Customer,East,Bengaluru,Home & Kitchen,Bedsheet,Mobile App,Debit Card,5,167,0.2,668.0,130.84,5,No
ORD100055,2025-10-18,2025-10,CUST9543,Returning Customer,South,Kolkata,Home & Kitchen,Bedsheet,Marketplace,Net Banking,1,186,0,186,38.89,8,No
ORD100056,2025-12-30,2025-12,CUST4551,New Customer,North,Pune,Home & Kitchen,Lamp,Website,Debit Card,1,307,0.25,230.25,40.08,9,No
ORD100057,2025-01-31,2025-01,CUST3701,Returning Customer,East,Kolkata,Beauty,Shampoo,Website,Debit Card,6,112,0.25,504.0,179.97,5,No
ORD100058,2025-03-06,2025-03,CUST7291,New Customer,South,Chennai,Electronics,Headphones,Website,COD,2,142,0.1,255.6,33.36,4,No
ORD100059,2025-01-31,2025-01,CUST5684,Returning Customer,West,Chennai,Beauty,Shampoo,Website,Net Banking,2,82,0.25,123.0,43.29,5,No
ORD100060,2025-07-07,2025-07,CUST9651,Returning Customer,West,Delhi,Fashion,Jeans,Marketplace,Credit Card,5,157,0,785,257.57,1,No
ORD100061,2025-01-02,2025-01,CUST3206,Premium Customer,Central,Kolkata,Fashion,T-Shirt,Marketplace,COD,3,80,0,240,70.15,6,No
ORD100062,2025-05-08,2025-05,CUST4742,Returning Customer,West,Chennai,Fashion,Sneakers,Mobile App,COD,6,126,0,756,207.82,9,No
ORD100063,2025-09-17,2025-09,CUST8653,Returning Customer,North,Kolkata,Home & Kitchen,Mixer,Website,Debit Card,5,23,0,115,20.53,1,No
ORD100064,2025-02-20,2025-02,CUST8921,Returning Customer,South,Hyderabad,Fashion,T-Shirt,Mobile App,Debit Card,3,22,0.1,59.4,18.48,4,No
ORD100065,2025-04-17,2025-04,CUST4751,Returning Customer,South,Kolkata,Grocery,Snacks,Mobile App,Net Banking,2,28,0.05,53.2,7.81,4,No
ORD100066,2025-08-15,2025-08,CUST4863,Returning Customer,West,Bengaluru,Electronics,Smartphone,Website,Net Banking,3,342,0.1,923.4,153.23,8,No
ORD100067,2025-01-25,2025-01,CUST8802,Returning Customer,North,Jaipur,Electronics,Smartphone,Mobile App,Debit Card,2,1153,0.05,2190.7,383.82,1,No
ORD100068,2025-09-23,2025-09,CUST5531,Premium Customer,North,Jaipur,Home & Kitchen,Storage Box,Marketplace,COD,2,208,0.15,353.6,95.27,5,No
ORD100069,2025-06-18,2025-06,CUST1615,Returning Customer,East,Lucknow,Home & Kitchen,Cookware Set,Website,Net Banking,4,290,0.25,870.0,211.99,1,No
ORD100070,2025-01-14,2025-01,CUST8348,Returning Customer,West,Hyderabad,Beauty,Shampoo,Mobile App,Credit Card,1,115,0.1,103.5,34.11,9,No
ORD100071,2025-06-18,2025-06,CUST6410,New Customer,South,Jaipur,Fashion,Dress,Website,Net Banking,2,82,0.05,155.8,51.78,8,No
ORD100072,2025-02-01,2025-02,CUST2635,Returning Customer,Central,Jaipur,Beauty,Serum,Website,Debit Card,5,65,0,325,86.83,8,No
ORD100073,2025-09-11,2025-09,CUST1264,Premium Customer,Central,Hyderabad,Fashion,Jeans,Marketplace,UPI,4,81,0,324,104.13,9,No
ORD100074,2025-02-05,2025-02,CUST2382,New Customer,North,Jaipur,Beauty,Perfume,Marketplace,Debit Card,5,109,0.25,408.75,121.47,7,No
ORD100075,2025-09-09,2025-09,CUST2701,Returning Customer,West,Ahmedabad,Home & Kitchen,Lamp,Website,Debit Card,3,183,0.05,521.55,79.4,8,No
ORD100076,2025-07-17,2025-07,CUST5622,New Customer,West,Ahmedabad,Books,Exam Guide,Mobile App,COD,6,58,0.25,261.0,35.36,3,No
ORD100077,2025-12-07,2025-12,CUST4876,New Customer,West,Bengaluru,Electronics,Tablet,Website,Credit Card,6,665,0,3990,680.24,7,No
ORD100078,2025-10-03,2025-10,CUST1191,New Customer,West,Ahmedabad,Books,Children Book,Marketplace,Debit Card,2,21,0.25,31.5,5.2,6,Yes
ORD100079,2025-12-03,2025-12,CUST2005,Returning Customer,North,Chennai,Electronics,Smartwatch,Mobile App,Debit Card,2,179,0,358,38.7,4,No
ORD100080,2025-08-04,2025-08,CUST1315,Returning Customer,North,Lucknow,Home & Kitchen,Lamp,Website,Debit Card,4,20,0.05,76.0,13.38,5,No
ORD100081,2025-09-28,2025-09,CUST3940,New Customer,North,Hyderabad,Home & Kitchen,Bedsheet,Website,Debit Card,2,205,0.25,307.5,47.3,5,No
ORD100082,2025-06-16,2025-06,CUST5189,Returning Customer,West,Mumbai,Fashion,Dress,Mobile App,Credit Card,1,26,0.1,23.4,7.74,2,No
ORD100083,2025-07-13,2025-07,CUST5014,New Customer,South,Lucknow,Fashion,T-Shirt,Website,Debit Card,4,116,0.2,371.2,109.88,5,Yes
ORD100084,2025-07-23,2025-07,CUST2717,Returning Customer,South,Pune,Electronics,Smartwatch,Marketplace,COD,6,816,0.05,4651.2,529.85,7,No
ORD100085,2025-02-21,2025-02,CUST6549,Premium Customer,South,Ahmedabad,Home & Kitchen,Cookware Set,Website,Net Banking,4,264,0.2,844.8,194.41,7,No
ORD100086,2025-01-21,2025-01,CUST9956,Returning Customer,North,Jaipur,Fashion,Jacket,Marketplace,Net Banking,4,25,0.25,75.0,18.65,2,No
ORD100087,2025-02-24,2025-02,CUST1637,Returning Customer,Central,Mumbai,Home & Kitchen,Cookware Set,Mobile App,Net Banking,2,156,0.2,249.6,51.87,6,No
ORD100088,2025-08-09,2025-08,CUST7786,Returning Customer,East,Mumbai,Beauty,Shampoo,Marketplace,Debit Card,6,98,0.2,470.4,177.65,9,No
ORD100089,2025-12-06,2025-12,CUST6661,Returning Customer,East,Bengaluru,Grocery,Flour Pack,Website,COD,1,10,0.25,7.5,1.05,8,No
ORD100090,2025-10-17,2025-10,CUST4602,Premium Customer,South,Hyderabad,Electronics,Tablet,Website,Debit Card,4,147,0.2,470.4,44.57,1,No
ORD100091,2025-04-17,2025-04,CUST5102,New Customer,West,Lucknow,Beauty,Shampoo,Mobile App,Debit Card,2,39,0.1,70.2,19.51,1,No
ORD100092,2025-06-20,2025-06,CUST8610,Returning Customer,West,Hyderabad,Electronics,Headphones,Website,UPI,4,174,0.15,591.6,94.19,9,No
ORD100093,2025-03-04,2025-03,CUST9318,Premium Customer,East,Chennai,Home & Kitchen,Bedsheet,Marketplace,UPI,5,92,0.15,391.0,77.0,6,No
ORD100094,2025-09-28,2025-09,CUST5242,New Customer,South,Mumbai,Fashion,T-Shirt,Marketplace,UPI,2,161,0.05,305.9,82.95,3,Yes
ORD100095,2025-08-20,2025-08,CUST4909,Returning Customer,South,Bengaluru,Fashion,Dress,Marketplace,Credit Card,5,154,0,770,230.06,9,No
ORD100096,2025-11-29,2025-11,CUST6540,New Customer,East,Ahmedabad,Electronics,Tablet,Marketplace,Credit Card,6,1185,0.2,5688.0,614.21,9,No
ORD100097,2025-10-06,2025-10,CUST5213,Premium Customer,East,Hyderabad,Home & Kitchen,Mixer,Marketplace,COD,6,315,0.2,1512.0,361.37,6,No
ORD100098,2025-07-12,2025-07,CUST3748,Premium Customer,West,Delhi,Sports,Football,Marketplace,Credit Card,3,232,0.2,556.8,123.23,9,No
ORD100099,2025-02-15,2025-02,CUST1244,Returning Customer,West,Delhi,Grocery,Flour Pack,Mobile App,UPI,1,43,0.05,40.85,2.93,2,No
ORD100100,2025-05-07,2025-05,CUST8861,Returning Customer,Central,Mumbai,Grocery,Rice Pack,Marketplace,UPI,3,46,0.05,131.1,14.75,4,No
ORD100101,2025-02-27,2025-02,CUST3160,New Customer,North,Mumbai,Home & Kitchen,Cookware Set,Website,Credit Card,6,311,0.05,1772.7,335.86,1,No
ORD100102,2025-10-05,2025-10,CUST1429,Returning Customer,North,Hyderabad,Beauty,Shampoo,Marketplace,UPI,4,109,0.2,348.8,123.68,9,No
ORD100103,2025-06-26,2025-06,CUST8622,Returning Customer,South,Bengaluru,Beauty,Serum,Marketplace,Credit Card,6,121,0,726,194.2,7,No
ORD100104,2025-04-05,2025-04,CUST7235,Returning Customer,Central,Hyderabad,Grocery,Snacks,Marketplace,Debit Card,5,37,0.25,138.75,8.87,3,Yes
ORD100105,2025-03-23,2025-03,CUST9831,New Customer,South,Kolkata,Electronics,Headphones,Marketplace,Net Banking,4,726,0.15,2468.4,460.3,8,No
ORD100106,2025-08-22,2025-08,CUST4034,New Customer,Central,Kolkata,Electronics,Smartphone,Mobile App,Debit Card,4,777,0.05,2952.6,217.63,1,No
ORD100107,2025-03-20,2025-03,CUST4693,Returning Customer,West,Jaipur,Beauty,Face Cream,Website,Net Banking,3,79,0.15,201.45,50.42,8,No
ORD100108,2025-06-21,2025-06,CUST4984,Premium Customer,East,Hyderabad,Sports,Football,Marketplace,COD,5,198,0.25,742.5,156.8,2,No
ORD100109,2025-12-15,2025-12,CUST8653,Returning Customer,East,Jaipur,Grocery,Cooking Oil,Mobile App,Net Banking,1,18,0.15,15.3,1.87,9,No
ORD100110,2025-08-22,2025-08,CUST3745,Returning Customer,West,Pune,Electronics,Smartwatch,Website,UPI,3,178,0.1,480.6,60.77,2,No
ORD100111,2025-11-25,2025-11,CUST4758,Returning Customer,South,Hyderabad,Grocery,Rice Pack,Website,Net Banking,5,48,0.25,180.0,17.49,7,No
ORD100112,2025-11-30,2025-11,CUST7331,Returning Customer,South,Pune,Fashion,Dress,Marketplace,Net Banking,4,63,0.05,239.4,71.04,6,No
ORD100113,2025-09-19,2025-09,CUST4303,Returning Customer,West,Jaipur,Beauty,Perfume,Website,Credit Card,5,79,0.15,335.75,113.51,2,No
ORD100114,2025-01-10,2025-01,CUST9811,Returning Customer,East,Bengaluru,Fashion,T-Shirt,Marketplace,Credit Card,4,147,0.05,558.6,154.13,3,No
ORD100115,2025-03-29,2025-03,CUST3007,Returning Customer,West,Kolkata,Grocery,Cooking Oil,Mobile App,Debit Card,5,79,0.1,355.5,31.93,9,No
ORD100116,2025-05-28,2025-05,CUST6010,Premium Customer,East,Bengaluru,Grocery,Tea,Website,Credit Card,4,72,0.05,273.6,43.59,4,No
ORD100117,2025-10-19,2025-10,CUST9054,Returning Customer,East,Chennai,Grocery,Flour Pack,Mobile App,Credit Card,3,36,0.05,102.6,5.7,9,No
ORD100118,2025-03-07,2025-03,CUST7315,New Customer,West,Ahmedabad,Beauty,Makeup Kit,Mobile App,Net Banking,2,55,0.2,88.0,26.02,4,No
ORD100119,2025-02-24,2025-02,CUST6006,New Customer,Central,Lucknow,Grocery,Flour Pack,Website,Credit Card,4,32,0,128,14.64,9,Yes
ORD100120,2025-09-15,2025-09,CUST6552,Returning Customer,North,Delhi,Sports,Dumbbells,Website,Credit Card,5,114,0.2,456.0,84.32,4,No
ORD100121,2025-03-07,2025-03,CUST3416,New Customer,North,Jaipur,Fashion,Dress,Website,Credit Card,6,48,0.15,244.8,55.35,4,No
ORD100122,2025-10-24,2025-10,CUST9368,Returning Customer,North,Hyderabad,Beauty,Face Cream,Marketplace,Credit Card,2,74,0,148,49.32,3,No
ORD100123,2025-08-01,2025-08,CUST9654,Returning Customer,West,Delhi,Home & Kitchen,Cookware Set,Mobile App,COD,1,135,0.2,108.0,26.55,9,No
ORD100124,2025-02-14,2025-02,CUST5537,Returning Customer,West,Lucknow,Home & Kitchen,Cookware Set,Mobile App,UPI,6,77,0.05,438.9,108.44,1,No
ORD100125,2025-05-13,2025-05,CUST6947,Returning Customer,East,Delhi,Grocery,Flour Pack,Website,UPI,2,62,0.15,105.4,15.46,3,No
ORD100126,2025-08-25,2025-08,CUST5941,Premium Customer,West,Delhi,Electronics,Headphones,Mobile App,Debit Card,4,1026,0.15,3488.4,350.87,7,Yes
ORD100127,2025-06-19,2025-06,CUST6648,Returning Customer,East,Lucknow,Sports,Cricket Bat,Mobile App,UPI,5,101,0,505,108.85,7,No
ORD100128,2025-05-06,2025-05,CUST7230,New Customer,East,Pune,Beauty,Perfume,Marketplace,COD,2,48,0.15,81.6,26.49,7,No
ORD100129,2025-03-23,2025-03,CUST1486,Returning Customer,East,Lucknow,Beauty,Perfume,Website,Net Banking,2,52,0.2,83.2,25.68,3,No
ORD100130,2025-09-02,2025-09,CUST8467,Premium Customer,West,Ahmedabad,Electronics,Smartphone,Website,Net Banking,1,1069,0.2,855.2,114.67,7,No
ORD100131,2025-08-08,2025-08,CUST5763,Returning Customer,Central,Pune,Home & Kitchen,Bedsheet,Mobile App,Credit Card,2,285,0.2,456.0,117.77,7,No
ORD100132,2025-09-18,2025-09,CUST2406,Returning Customer,Central,Lucknow,Sports,Dumbbells,Website,Debit Card,1,203,0.1,182.7,38.63,6,No
ORD100133,2025-10-22,2025-10,CUST3630,New Customer,Central,Kolkata,Sports,Cricket Bat,Marketplace,Net Banking,3,34,0.1,91.8,19.22,9,No
ORD100134,2025-04-16,2025-04,CUST1008,New Customer,West,Chennai,Fashion,Dress,Marketplace,UPI,6,53,0.15,270.3,62.3,5,No
ORD100135,2025-06-14,2025-06,CUST4997,Returning Customer,West,Hyderabad,Fashion,Dress,Website,COD,2,84,0.2,134.4,43.46,7,No
ORD100136,2025-03-11,2025-03,CUST1378,Returning Customer,South,Mumbai,Home & Kitchen,Bedsheet,Mobile App,UPI,1,186,0.1,167.4,43.48,1,No
ORD100137,2025-10-27,2025-10,CUST2304,Returning Customer,East,Pune,Beauty,Makeup Kit,Mobile App,Credit Card,1,116,0.1,104.4,32.91,4,No
ORD100138,2025-03-31,2025-03,CUST5517,Returning Customer,West,Kolkata,Home & Kitchen,Lamp,Website,Debit Card,4,67,0.1,241.2,50.4,8,No
ORD100139,2025-03-18,2025-03,CUST3128,Premium Customer,East,Ahmedabad,Electronics,Laptop,Mobile App,COD,3,240,0,720,68.49,8,No
ORD100140,2025-10-15,2025-10,CUST8492,New Customer,North,Bengaluru,Grocery,Cooking Oil,Marketplace,COD,3,11,0.1,29.7,2.32,9,Yes
ORD100141,2025-02-15,2025-02,CUST3744,Premium Customer,South,Delhi,Home & Kitchen,Mixer,Website,Debit Card,2,291,0.25,436.5,91.7,9,No
ORD100142,2025-03-21,2025-03,CUST1923,New Customer,Central,Delhi,Books,Children Book,Marketplace,UPI,6,43,0.2,206.4,25.84,2,No
ORD100143,2025-02-17,2025-02,CUST5895,Returning Customer,West,Mumbai,Electronics,Tablet,Website,Credit Card,1,230,0.1,207.0,20.9,8,No
ORD100144,2025-06-22,2025-06,CUST7743,Returning Customer,Central,Kolkata,Fashion,T-Shirt,Website,Net Banking,2,144,0.2,230.4,76.58,5,No
ORD100145,2025-05-09,2025-05,CUST4104,New Customer,South,Ahmedabad,Electronics,Smartwatch,Website,COD,2,366,0.15,622.2,61.73,1,No
ORD100146,2025-08-23,2025-08,CUST5670,Returning Customer,West,Hyderabad,Fashion,Jacket,Mobile App,Net Banking,5,52,0.25,195.0,66.19,1,No
ORD100147,2025-01-23,2025-01,CUST9541,Premium Customer,West,Pune,Grocery,Tea,Website,UPI,4,52,0.05,197.6,23.37,5,No
ORD100148,2025-03-11,2025-03,CUST7496,Returning Customer,South,Hyderabad,Beauty,Perfume,Marketplace,Net Banking,2,23,0.1,41.4,10.36,3,No
ORD100149,2025-08-05,2025-08,CUST3646,New Customer,North,Mumbai,Books,Exam Guide,Marketplace,UPI,5,22,0.2,88.0,11.96,6,No
ORD100150,2025-11-18,2025-11,CUST9870,Returning Customer,North,Chennai,Grocery,Snacks,Marketplace,UPI,3,55,0,165,24.65,3,No
ORD100151,2025-06-30,2025-06,CUST3305,New Customer,North,Lucknow,Grocery,Cooking Oil,Marketplace,Net Banking,1,37,0.25,27.75,2.26,8,No
ORD100152,2025-08-03,2025-08,CUST6341,New Customer,West,Mumbai,Fashion,T-Shirt,Marketplace,UPI,6,113,0.15,576.3,172.52,1,Yes
ORD100153,2025-11-12,2025-11,CUST8720,Returning Customer,East,Pune,Fashion,Jeans,Mobile App,Debit Card,1,82,0.1,73.8,24.38,1,No
ORD100154,2025-01-10,2025-01,CUST6637,Returning Customer,North,Bengaluru,Grocery,Snacks,Marketplace,UPI,5,49,0.05,232.75,20.82,1,No
ORD100155,2025-04-15,2025-04,CUST7504,New Customer,South,Ahmedabad,Grocery,Rice Pack,Mobile App,UPI,6,63,0.2,302.4,31.08,6,No
ORD100156,2025-11-18,2025-11,CUST1687,New Customer,East,Kolkata,Home & Kitchen,Lamp,Marketplace,COD,6,188,0,1128,253.26,1,No
ORD100157,2025-05-16,2025-05,CUST2378,Returning Customer,West,Jaipur,Home & Kitchen,Mixer,Marketplace,Debit Card,1,38,0.25,28.5,6.89,1,No
ORD100158,2025-04-05,2025-04,CUST4401,New Customer,West,Kolkata,Home & Kitchen,Cookware Set,Marketplace,Net Banking,3,174,0.15,443.7,69.18,3,No
ORD100159,2025-04-30,2025-04,CUST7058,Returning Customer,Central,Jaipur,Sports,Football,Website,Net Banking,2,207,0.1,372.6,83.17,6,No
ORD100160,2025-04-16,2025-04,CUST5282,Returning Customer,South,Pune,Home & Kitchen,Mixer,Marketplace,UPI,1,324,0,324,74.93,1,No
ORD100161,2025-10-23,2025-10,CUST6980,Returning Customer,North,Jaipur,Beauty,Face Cream,Mobile App,UPI,3,23,0,69,20.74,1,No
ORD100162,2025-05-11,2025-05,CUST6767,Returning Customer,East,Jaipur,Beauty,Face Cream,Marketplace,UPI,4,124,0,496,164.41,6,No
ORD100163,2025-02-15,2025-02,CUST6092,Returning Customer,North,Hyderabad,Fashion,Jeans,Mobile App,UPI,2,75,0,150,37.96,8,No
ORD100164,2025-10-24,2025-10,CUST6879,Returning Customer,North,Lucknow,Sports,Dumbbells,Mobile App,UPI,3,42,0.25,94.5,20.58,6,Yes
ORD100165,2025-07-09,2025-07,CUST1370,Returning Customer,Central,Lucknow,Home & Kitchen,Bedsheet,Website,COD,3,199,0.25,447.75,103.58,5,No
ORD100166,2025-10-01,2025-10,CUST3117,New Customer,South,Lucknow,Electronics,Headphones,Mobile App,COD,1,561,0.2,448.8,68.36,3,No
ORD100167,2025-10-23,2025-10,CUST2370,Returning Customer,North,Lucknow,Home & Kitchen,Cookware Set,Marketplace,UPI,4,179,0.25,537.0,83.59,9,No
ORD100168,2025-08-27,2025-08,CUST6134,Returning Customer,West,Bengaluru,Electronics,Headphones,Website,UPI,5,1065,0.2,4260.0,634.11,5,No
ORD100169,2025-12-23,2025-12,CUST1417,Returning Customer,Central,Kolkata,Beauty,Makeup Kit,Website,Debit Card,6,126,0.1,680.4,212.51,7,No
ORD100170,2025-01-10,2025-01,CUST2347,Returning Customer,East,Hyderabad,Sports,Cricket Bat,Marketplace,Debit Card,1,88,0,88,14.08,5,No
ORD100171,2025-09-27,2025-09,CUST4177,New Customer,North,Mumbai,Beauty,Serum,Website,Net Banking,4,91,0,364,99.65,4,No
ORD100172,2025-10-14,2025-10,CUST4351,Returning Customer,West,Mumbai,Sports,Football,Website,Debit Card,3,49,0,147,35.38,5,No
ORD100173,2025-12-22,2025-12,CUST6121,New Customer,Central,Kolkata,Home & Kitchen,Lamp,Website,Net Banking,2,242,0.1,435.6,73.13,6,No
ORD100174,2025-10-01,2025-10,CUST3402,Returning Customer,Central,Lucknow,Electronics,Smartwatch,Marketplace,Credit Card,6,638,0.25,2871.0,233.16,9,No
