order_id,order_date,region,state,city,category,sub_category,customer_segment,sales,profit,quantity,discount,shipping_cost
ORD-100073,2025-04-26,West,California,San Francisco,Office Supplies,Storage,Corporate,179.22,17.75,8,0.1,24.34
ORD-100074,2024-08-12,Central,Missouri,St. Louis,Technology,Phones,Home Office,300.33,52.7,4,0.05,11.38
ORD-100075,2025-04-15,West,California,San Francisco,Technology,Machines,Home Office,83.58,10.02,3,0.15,19.63
ORD-100076,2025-08-25,East,New Jersey,Newark,Office Supplies,Paper,Consumer,196.74,32.44,3,0,26.09
ORD-100077,2025-04-29,South,North Carolina,Charlotte,Furniture,Chairs,Consumer,1240.56,-33.65,5,0.3,28.13
ORD-100078,2025-09-18,South,Florida,Miami,Office Supplies,Appliances,Consumer,149.1,24.34,6,0.1,24.03
ORD-100079,2025-02-23,East,New Jersey,Newark,Technology,Copiers,Corporate,596.46,114.57,7,0.05,17.31
ORD-100080,2025-10-25,South,Texas,Houston,Furniture,Chairs,Corporate,2207.26,342.17,8,0,39.96
ORD-100081,2023-11-13,West,Arizona,Phoenix,Furniture,Bookcases,Corporate,462.96,6.19,7,0.25,46.21
ORD-100082,2025-09-26,West,Colorado,Denver,Technology,Accessories,Corporate,144.34,26.3,5,0.1,27.69
ORD-100083,2023-07-21,West,Arizona,Phoenix,Technology,Copiers,Home Office,201.47,16.87,1,0.2,7.52
ORD-100084,2025-12-23,Central,Indiana,Indianapolis,Office Supplies,Paper,Consumer,151.7,5.05,2,0.25,11.37
ORD-100085,2023-10-21,East,New Jersey,Newark,Office Supplies,Storage,Consumer,97.2,10.06,1,0.15,7.61
ORD-100086,2025-06-23,South,North Carolina,Charlotte,Furniture,Furnishings,Corporate,914.22,9.53,8,0.15,38.54
ORD-100087,2025-09-16,West,California,San Francisco,Furniture,Bookcases,Corporate,1823.07,-87.14,5,0.25,32.31
ORD-100088,2023-04-11,Central,Ohio,Columbus,Technology,Copiers,Consumer,1005.21,144.25,4,0.15,31.19
ORD-100089,2023-10-08,West,California,Los Angeles,Furniture,Furnishings,Consumer,1051.44,23.03,6,0.15,31.45
ORD-100090,2024-02-16,East,Maryland,Baltimore,Furniture,Bookcases,Home Office,686.17,-12.31,5,0.3,22.83
ORD-100091,2024-11-24,West,Arizona,Phoenix,Technology,Accessories,Corporate,1375.72,143.84,4,0.25,33.53
ORD-100092,2025-01-19,West,Arizona,Phoenix,Technology,Copiers,Corporate,563.72,62.32,8,0.2,54.65
ORD-100093,2025-02-19,South,Texas,Houston,Office Supplies,Paper,Consumer,520.73,102.68,6,0,33.5
ORD-100094,2024-09-10,Central,Illinois,Chicago,Technology,Phones,Home Office,882.73,-4.02,5,0.3,20.72
ORD-100095,2023-10-05,Central,Missouri,St. Louis,Furniture,Furnishings,Corporate,865.73,-42.93,3,0.3,29.22
ORD-100096,2024-07-26,West,Washington,Seattle,Technology,Machines,Consumer,414.47,24.43,4,0.2,30.2
ORD-100097,2025-01-04,West,Arizona,Phoenix,Furniture,Tables,Home Office,1898.63,179.52,8,0,35.68
ORD-100098,2023-09-15,East,New York,New York City,Office Supplies,Paper,Corporate,313.78,25.01,4,0.2,33.08
ORD-100099,2023-01-06,South,Texas,Dallas,Technology,Copiers,Corporate,410.67,87.16,2,0,19.04
ORD-100100,2024-10-25,West,California,San Francisco,Furniture,Chairs,Consumer,1125.71,176.86,7,0,38.84
ORD-100101,2025-01-11,West,Arizona,Phoenix,Office Supplies,Paper,Home Office,53.85,4.51,1,0.15,13.25
ORD-100102,2023-05-05,Central,Missouri,St. Louis,Furniture,Chairs,Consumer,120,20.51,8,0,35.04
ORD-100103,2023-10-31,West,California,San Francisco,Furniture,Bookcases,Consumer,253.27,40.87,5,0,16.5
ORD-100104,2024-03-16,Central,Missouri,St. Louis,Technology,Machines,Consumer,2138.53,117.49,8,0.25,22.32
ORD-100105,2025-05-24,South,Florida,Miami,Furniture,Tables,Corporate,2804.29,361.39,8,0,58.7
ORD-100106,2025-02-02,East,Maryland,Baltimore,Technology,Copiers,Corporate,2194.74,282.3,7,0.2,61.62
ORD-100107,2025-05-16,West,Washington,Seattle,Office Supplies,Storage,Consumer,352.45,60.45,4,0,26.58
ORD-100108,2023-08-24,South,North Carolina,Charlotte,Technology,Machines,Home Office,334.69,28.48,1,0.15,8.41
ORD-100109,2024-09-24,South,Florida,Miami,Technology,Accessories,Home Office,2801.22,527.35,7,0,41.49
ORD-100110,2025-02-09,Central,Missouri,St. Louis,Furniture,Tables,Consumer,1493.4,253.13,6,0,20.53
ORD-100111,2023-04-12,West,Washington,Seattle,Furniture,Furnishings,Consumer,966.4,117.0,8,0,23.21
ORD-100112,2025-09-23,South,Texas,Houston,Technology,Machines,Home Office,263.29,52.24,1,0,13.12
ORD-100113,2023-10-09,South,Florida,Miami,Furniture,Chairs,Consumer,1565.1,109.59,7,0.1,56.33
ORD-100114,2024-12-26,West,Arizona,Phoenix,Office Supplies,Binders,Consumer,769.81,167.5,8,0,49.24
ORD-100115,2025-04-08,Central,Ohio,Columbus,Technology,Machines,Consumer,2151.18,128.82,6,0.3,52.63
ORD-100116,2023-06-30,Central,Illinois,Chicago,Technology,Machines,Corporate,958.33,91.85,2,0.25,18.44
ORD-100117,2024-03-29,South,Texas,Dallas,Technology,Phones,Corporate,1252.61,211.4,4,0.05,15.1
ORD-100118,2024-02-09,East,Maryland,Baltimore,Technology,Phones,Consumer,1259.84,66.65,8,0.3,59.55
ORD-100119,2025-07-08,South,Florida,Miami,Technology,Machines,Consumer,588.88,124.65,8,0,21.15
ORD-100120,2025-08-03,Central,Illinois,Chicago,Technology,Copiers,Home Office,122.73,28.88,2,0,15.1
ORD-100121,2025-08-05,West,Arizona,Phoenix,Office Supplies,Paper,Consumer,120,-5.48,8,0.3,67.35
ORD-100122,2024-12-04,West,Colorado,Denver,Office Supplies,Paper,Consumer,513.82,-4.03,8,0.3,51.15
ORD-100123,2025-01-15,South,Florida,Miami,Furniture,Furnishings,Corporate,214.87,25.71,1,0,10.41
ORD-100124,2025-03-02,South,Florida,Miami,Office Supplies,Paper,Consumer,45,1.71,3,0.2,23.28
ORD-100125,2025-03-13,East,Maryland,Baltimore,Office Supplies,Binders,Consumer,316.46,53.11,7,0.05,56.12
ORD-100126,2025-12-14,West,Arizona,Phoenix,Office Supplies,Storage,Consumer,199.89,38.6,5,0.05,24.46
ORD-100127,2025-09-22,East,Pennsylvania,Philadelphia,Technology,Accessories,Consumer,138.86,33.27,2,0,20.27
ORD-100128,2023-09-26,Central,Michigan,Detroit,Technology,Accessories,Home Office,638.16,-7.06,3,0.3,17.15
ORD-100129,2024-05-01,Central,Indiana,Indianapolis,Furniture,Furnishings,Consumer,457.14,-10.81,4,0.3,16.43
ORD-100130,2025-06-21,Central,Ohio,Columbus,Furniture,Furnishings,Home Office,1390.45,189.2,4,0.05,12.46
ORD-100131,2025-09-11,South,North Carolina,Charlotte,Technology,Phones,Consumer,547.52,121.71,3,0.05,11.43
ORD-100132,2024-03-30,Central,Ohio,Columbus,Technology,Machines,Consumer,2880.17,431.32,6,0.1,17.43
ORD-100133,2024-04-04,West,Washington,Seattle,Technology,Copiers,Corporate,1447.31,68.96,3,0.3,12.41
ORD-100134,2025-08-18,Central,Indiana,Indianapolis,Technology,Phones,Consumer,1137.63,223.99,4,0.05,31.36
ORD-100135,2025-12-16,Central,Illinois,Chicago,Furniture,Tables,Consumer,190.26,-18.9,1,0.3,12.36
ORD-100136,2025-10-20,West,Colorado,Denver,Office Supplies,Paper,Corporate,579.48,-12.96,5,0.25,24.85
ORD-100137,2025-05-03,East,New York,New York City,Office Supplies,Storage,Consumer,33.88,2.23,1,0.25,8.28
ORD-100138,2023-02-03,South,Texas,Houston,Furniture,Tables,Corporate,501.76,-14.05,2,0.2,12.93
ORD-100139,2024-11-24,East,New Jersey,Newark,Office Supplies,Appliances,Corporate,366.18,-18.92,3,0.3,13.73
ORD-100140,2024-02-13,West,Washington,Seattle,Furniture,Furnishings,Home Office,1969.2,-8.28,8,0.15,53.23
ORD-100141,2024-08-08,South,Texas,Houston,Office Supplies,Storage,Consumer,189.97,4.85,6,0.3,30.24
ORD-100142,2024-01-18,Central,Missouri,St. Louis,Furniture,Bookcases,Corporate,1530.29,197.03,7,0,64.26
ORD-100143,2024-01-05,South,Florida,Miami,Technology,Phones,Consumer,814.32,26.46,5,0.25,28.04
ORD-100144,2025-07-04,West,Washington,Seattle,Office Supplies,Appliances,Consumer,110.54,22.15,1,0,9.34
ORD-100145,2025-11-16,East,New York,New York City,Technology,Machines,Consumer,470.61,39.75,2,0.2,15.94
ORD-100146,2023-11-11,Central,Ohio,Columbus,Furniture,Furnishings,Corporate,965.88,-4.03,3,0.2,23.14
ORD-100147,2024-05-26,West,California,Los Angeles,Office Supplies,Paper,Consumer,562.24,59.52,7,0.15,26.01
ORD-100148,2024-08-07,Central,Michigan,Detroit,Technology,Accessories,Home Office,1509.53,344.75,8,0.05,41.93
ORD-100149,2023-06-29,South,Florida,Miami,Office Supplies,Binders,Corporate,595.78,106.6,5,0.05,30.31
ORD-100150,2023-09-06,East,Pennsylvania,Philadelphia,Technology,Machines,Consumer,425.59,24.4,6,0.3,37.17
ORD-100151,2023-06-26,West,Washington,Seattle,Furniture,Furnishings,Corporate,1380.62,24.59,7,0.2,37.55
ORD-100152,2025-11-25,South,Texas,Dallas,Office Supplies,Paper,Corporate,157.4,3.58,3,0.25,27.73
ORD-100153,2023-09-12,East,Massachusetts,Boston,Technology,Accessories,Consumer,226.83,35.98,4,0.15,18.02
ORD-100154,2024-07-16,East,Massachusetts,Boston,Office Supplies,Binders,Corporate,405.06,49.79,3,0.05,22.61
ORD-100155,2024-11-22,West,California,Los Angeles,Technology,Phones,Home Office,499.0,36.49,5,0.25,13.56
ORD-100156,2024-08-16,South,Georgia,Atlanta,Technology,Machines,Consumer,104.13,20.22,2,0,13.82
ORD-100157,2025-08-09,East,Massachusetts,Boston,Office Supplies,Paper,Consumer,347.78,-3.73,6,0.25,29.56
ORD-100158,2023-08-06,South,Texas,Dallas,Furniture,Chairs,Consumer,60,3.97,4,0.05,19.13
ORD-100159,2025-02-25,Central,Michigan,Detroit,Technology,Copiers,Home Office,1477.88,44.17,6,0.3,26.96
ORD-100160,2023-02-17,West,Arizona,Phoenix,Office Supplies,Appliances,Home Office,338.3,4.86,4,0.2,18.88
ORD-100161,2025-08-21,South,North Carolina,Charlotte,Technology,Phones,Consumer,955.22,51.65,5,0.2,14.29
ORD-100162,2024-02-03,South,North Carolina,Charlotte,Furniture,Chairs,Consumer,120,8.01,8,0.15,51.9
ORD-100163,2023-09-01,East,New York,New York City,Furniture,Bookcases,Corporate,550.31,41.5,6,0.05,35.38
ORD-100164,2025-10-21,West,California,Los Angeles,Technology,Accessories,Corporate,1431.77,-2.28,8,0.3,67.02
ORD-100165,2023-10-14,South,North Carolina,Charlotte,Furniture,Tables,Consumer,410.23,-16.91,5,0.3,22.99
ORD-100166,2023-02-04,South,Florida,Miami,Office Supplies,Binders,Home Office,206.87,40.08,5,0,21.79
ORD-100167,2024-04-11,West,Colorado,Denver,Furniture,Tables,Corporate,1887.3,267.11,7,0,49.83
ORD-100168,2024-01-26,West,Arizona,Phoenix,Furniture,Furnishings,Consumer,1199.15,-32.78,4,0.25,28.12
ORD-100169,2025-08-23,West,California,San Francisco,Office Supplies,Paper,Corporate,274.99,40.94,8,0.05,46.86
ORD-100170,2024-12-26,South,North Carolina,Charlotte,Furniture,Tables,Home Office,831.53,10.59,5,0.15,46.55
ORD-100171,2024-09-01,South,Texas,Dallas,Office Supplies,Appliances,Consumer,90,6.16,6,0.15,38.09
ORD-100172,2025-02-16,Central,Ohio,Columbus,Technology,Copiers,Consumer,230.4,30.68,2,0.2,17.18
ORD-100173,2025-09-08,East,Pennsylvania,Philadelphia,Office Supplies,Storage,Home Office,485.81,47.04,5,0.1,35.94
ORD-100174,2025-12-23,East,Pennsylvania,Philadelphia,Technology,Phones,Consumer,2776.71,670.04,8,0,24.7
ORD-100175,2023-11-20,Central,Missouri,St. Louis,Furniture,Tables,Corporate,591.58,87.97,5,0,20.63
ORD-100176,2023-03-18,East,New Jersey,Newark,Technology,Phones,Home Office,2640.49,4.67,7,0.3,52.2
ORD-100177,2024-08-15,West,California,Los Angeles,Furniture,Chairs,Home Office,695.25,-17.36,6,0.3,19.64
ORD-100178,2025-10-29,Central,Ohio,Columbus,Technology,Phones,Consumer,4601.76,677.26,8,0.15,17.79
ORD-100179,2024-11-21,South,North Carolina,Charlotte,Office Supplies,Paper,Consumer,595.07,104.78,7,0,20.17
ORD-100180,2023-10-15,Central,Ohio,Columbus,Technology,Phones,Consumer,364.35,19.25,4,0.3,37.71
ORD-100181,2024-09-10,West,Washington,Seattle,Office Supplies,Storage,Corporate,45.24,6.51,1,0.05,10.02
ORD-100182,2024-09-28,West,Washington,Seattle,Furniture,Tables,Consumer,250.99,-22.89,3,0.3,25.2
ORD-100183,2025-02-04,Central,Indiana,Indianapolis,Furniture,Tables,Corporate,120.43,-3.97,2,0.2,15.9
ORD-100184,2023-05-07,East,Maryland,Baltimore,Office Supplies,Paper,Consumer,464.06,93.38,8,0,57.15
ORD-100185,2025-09-28,West,Colorado,Denver,Furniture,Chairs,Consumer,1029.75,-45.77,7,0.3,30.6
ORD-100186,2023-02-14,Central,Ohio,Columbus,Technology,Accessories,Corporate,231.19,11.21,1,0.25,6.95
ORD-100187,2023-05-04,West,Arizona,Phoenix,Technology,Copiers,Consumer,759.77,38.9,3,0.25,28.22
ORD-100188,2025-07-07,Central,Missouri,St. Louis,Technology,Accessories,Corporate,90,17.65,6,0,36.56
ORD-100189,2025-12-19,East,Pennsylvania,Philadelphia,Technology,Phones,Home Office,1198.75,109.81,8,0.25,30.86
ORD-100190,2024-12-09,East,Massachusetts,Boston,Technology,Phones,Consumer,598.23,120.64,7,0,18.8
ORD-100191,2023-03-10,Central,Indiana,Indianapolis,Office Supplies,Binders,Consumer,43.65,6.24,1,0.1,11.93
ORD-100192,2023-10-14,South,Texas,Dallas,Office Supplies,Storage,Corporate,480.32,49.07,6,0.1,20.02
ORD-100193,2025-12-03,East,New Jersey,Newark,Furniture,Bookcases,Consumer,319.69,-32.22,3,0.3,16.73
ORD-100194,2025-02-19,South,Georgia,Atlanta,Furniture,Tables,Consumer,316.92,-26.4,3,0.3,14.23
ORD-100195,2023-10-23,Central,Illinois,Chicago,Office Supplies,Appliances,Home Office,132.12,9.01,3,0.2,28.87
ORD-100196,2025-01-29,West,Colorado,Denver,Office Supplies,Paper,Consumer,578.86,126.55,7,0,24.72
ORD-100197,2024-03-20,Central,Michigan,Detroit,Furniture,Bookcases,Home Office,195.28,30.7,1,0,11.78
ORD-100198,2024-05-11,East,New Jersey,Newark,Technology,Copiers,Corporate,2074.14,68.51,7,0.3,33.1
ORD-100199,2024-06-19,South,North Carolina,Charlotte,Furniture,Furnishings,Consumer,1490.8,87.01,8,0.1,40.18
ORD-100200,2024-03-29,East,New York,New York City,Furniture,Furnishings,Consumer,372.99,-7.2,4,0.2,26.95
ORD-100201,2024-05-18,Central,Indiana,Indianapolis,Office Supplies,Storage,Consumer,920.72,-12.45,8,0.3,58.04
ORD-100202,2024-12-22,East,Pennsylvania,Philadelphia,Office Supplies,Appliances,Consumer,54.3,11.7,1,0,7.02
ORD-100203,2023-04-10,West,Arizona,Phoenix,Technology,Accessories,Consumer,1090.23,60.44,3,0.2,22.89
ORD-100204,2025-09-16,Central,Illinois,Chicago,Technology,Machines,Consumer,1141.23,95.91,5,0.15,40.96
ORD-100205,2025-05-31,East,New York,New York City,Technology,Accessories,Consumer,1290.1,31.75,5,0.25,46.08
ORD-100206,2025-07-29,East,Pennsylvania,Philadelphia,Furniture,Chairs,Corporate,108.38,13.71,1,0,9.14
ORD-100207,2025-09-01,West,California,Los Angeles,Office Supplies,Paper,Consumer,317.3,69.97,7,0,60.54
ORD-100208,2024-04-15,East,Maryland,Baltimore,Furniture,Bookcases,Consumer,219.71,16.14,2,0.15,15.89
ORD-100209,2023-03-09,East,Massachusetts,Boston,Technology,Accessories,Corporate,2184.19,362.58,7,0.1,57.12
ORD-100210,2024-11-10,Central,Michigan,Detroit,Office Supplies,Binders,Corporate,311.82,46.4,6,0,23.75
ORD-100211,2023-06-05,South,North Carolina,Charlotte,Office Supplies,Appliances,Home Office,558.45,-6.06,6,0.3,28.94
ORD-100212,2025-02-07,Central,Michigan,Detroit,Office Supplies,Appliances,Consumer,351.44,48.91,5,0.1,15.37
ORD-100213,2023-11-12,Central,Michigan,Detroit,Office Supplies,Appliances,Consumer,273.6,-6.19,2,0.3,11.78
ORD-100214,2023-09-29,West,California,San Francisco,Furniture,Furnishings,Corporate,2162.05,199.69,7,0,32.84
ORD-100215,2023-07-10,South,Georgia,Atlanta,Technology,Copiers,Consumer,391.22,65.13,2,0.1,10.37
ORD-100216,2025-02-18,East,Pennsylvania,Philadelphia,Furniture,Bookcases,Consumer,164.41,17.27,3,0,15.3
ORD-100217,2024-09-05,Central,Illinois,Chicago,Furniture,Bookcases,Home Office,1005.68,102.77,8,0,17.38
ORD-100218,2025-03-21,South,North Carolina,Charlotte,Furniture,Bookcases,Consumer,1005.88,85.04,7,0.05,45.06
ORD-100219,2024-02-16,Central,Ohio,Columbus,Technology,Machines,Home Office,1018.72,147.03,5,0.1,22.31
ORD-100220,2025-03-15,South,Texas,Houston,Office Supplies,Paper,Corporate,45,10.16,3,0,19.19
ORD-100221,2024-03-05,Central,Ohio,Columbus,Office Supplies,Binders,Corporate,391.25,25.15,7,0.15,47.77
ORD-100222,2025-05-16,Central,Illinois,Chicago,Furniture,Furnishings,Corporate,924.16,148.94,7,0,33.12
ORD-100223,2023-06-24,West,California,San Francisco,Office Supplies,Storage,Consumer,17.55,1.13,1,0.25,8.82
ORD-100224,2025-05-31,West,California,Los Angeles,Technology,Copiers,Consumer,610.51,11.4,4,0.3,23.97
ORD-100225,2025-10-21,East,Massachusetts,Boston,Technology,Machines,Consumer,1855.09,331.78,7,0.05,32.31
ORD-100226,2024-02-28,Central,Ohio,Columbus,Furniture,Chairs,Consumer,1279.35,-43.44,8,0.2,19.5
ORD-100227,2023-08-24,West,Washington,Seattle,Office Supplies,Binders,Corporate,354.36,55.7,3,0.05,16.45
ORD-100228,2025-05-23,Central,Michigan,Detroit,Furniture,Tables,Consumer,774.84,-54.14,7,0.25,45.59
ORD-100229,2024-02-09,Central,Indiana,Indianapolis,Furniture,Furnishings,Consumer,901.45,127.97,4,0,33.39
ORD-100230,2024-01-18,South,Florida,Miami,Technology,Machines,Consumer,3315.24,343.88,8,0.2,51.23
ORD-100231,2023-08-22,South,Florida,Miami,Furniture,Tables,Corporate,1476.72,126.54,5,0.05,20.85
ORD-100232,2023-08-28,East,Massachusetts,Boston,Office Supplies,Paper,Corporate,291.55,46.42,7,0.05,36.23
ORD-100233,2025-09-23,East,Maryland,Baltimore,Technology,Machines,Consumer,503.08,129.74,3,0,29.49
ORD-100234,2025-09-19,East,Pennsylvania,Philadelphia,Furniture,Furnishings,Consumer,2236.92,-19.21,8,0.25,41.86
