ticket_id,student_key,created_at,month,department,program_level,query_type,channel,priority,assigned_agent,status,resolution_hours,sla_target_hours,sla_met,first_contact_resolved,reopened,csat_score,academic_year
QRY-00015,STU-41125,2026-06-17 08:59,2026-06,Commerce,UG,Enrollment,Service Desk,Medium,Agent D,Resolved,14.3,48,Yes,No,Yes,5,2024-25
QRY-00016,STU-54556,2025-06-10 15:35,2025-06,Engineering,UG,Fee & Payment,Service Desk,High,Agent D,Resolved,10.1,24,Yes,Yes,No,5,2024-25
QRY-00017,STU-59313,2025-10-03 08:27,2025-10,Humanities,Diploma,Scholarship,Service Desk,High,Agent C,In Progress,,24,Open,No,No,,2025-26
QRY-00018,STU-17442,2025-05-25 16:03,2025-05,Engineering,UG,Scholarship,Student Portal,Low,Agent A,Resolved,24.2,72,Yes,No,No,4,2024-25
QRY-00019,STU-92510,2026-01-24 15:02,2026-01,Computer Applications,UG,Scholarship,Email,Medium,Agent D,Pending Student,,48,Open,No,No,,2024-25
QRY-00020,STU-17182,2025-07-29 08:13,2025-07,Computer Applications,UG,Timetable,Service Desk,High,Agent A,Resolved,17.0,24,Yes,Yes,No,5,2025-26
QRY-00021,STU-60636,2025-08-19 12:47,2025-08,Commerce,Doctoral,Results,Student Portal,Medium,Agent C,Resolved,9.8,48,Yes,Yes,No,5,2025-26
QRY-00022,STU-80739,2025-07-16 11:26,2025-07,Engineering,UG,Document Update,Phone,Medium,Agent B,Resolved,20.5,48,Yes,Yes,No,3,2025-26
QRY-00023,STU-79340,2025-09-07 17:42,2025-09,Humanities,UG,Enrollment,Email,Medium,Agent E,Pending Student,,48,Open,No,No,,2025-26
QRY-00024,STU-71329,2026-03-14 15:16,2026-03,Computer Applications,UG,Examination,Service Desk,Medium,Agent C,Resolved,24.8,48,Yes,Yes,No,5,2024-25
QRY-00025,STU-81111,2026-05-13 14:25,2026-05,Science,UG,Fee & Payment,Service Desk,Medium,Agent A,Closed,26.0,48,Yes,Yes,No,4,2024-25
QRY-00026,STU-85031,2025-01-28 14:17,2025-01,Engineering,UG,Fee & Payment,Phone,Medium,Agent C,Pending Student,,48,Open,No,No,,2024-25
QRY-00027,STU-49199,2025-01-09 09:45,2025-01,Management,Doctoral,Results,Service Desk,Medium,Agent D,Resolved,26.0,48,Yes,Yes,No,4,2024-25
QRY-00028,STU-73800,2025-12-31 10:26,2025-12,Engineering,UG,Enrollment,Email,Medium,Agent D,Closed,18.9,48,Yes,No,Yes,3,2025-26
QRY-00029,STU-14468,2026-06-19 13:02,2026-06,Engineering,UG,Fee & Payment,Walk-in,Medium,Agent A,Resolved,30.1,48,Yes,No,No,5,2024-25
QRY-00030,STU-95456,2025-06-03 08:40,2025-06,Engineering,Diploma,Results,Walk-in,Medium,Agent E,Resolved,16.8,48,Yes,Yes,No,4,2024-25
QRY-00031,STU-42320,2025-07-29 11:13,2025-07,Engineering,PG,Document Update,Student Portal,Medium,Agent E,Pending Student,,48,Open,No,No,,2025-26
QRY-00032,STU-11364,2026-03-01 11:53,2026-03,Science,Doctoral,Examination,Student Portal,High,Agent A,Closed,27.6,24,No,No,No,5,2024-25
QRY-00033,STU-56503,2026-02-04 14:20,2026-02,Commerce,UG,Examination,Service Desk,Medium,Agent D,Closed,7.0,48,Yes,Yes,No,4,2024-25
QRY-00034,STU-15559,2025-03-06 12:45,2025-03,Computer Applications,PG,Document Update,Service Desk,Medium,Agent C,In Progress,,48,Open,No,No,,2024-25
QRY-00035,STU-17714,2025-03-18 09:43,2025-03,Commerce,UG,Results,Service Desk,Critical,Agent B,Closed,16.1,8,No,No,No,4,2024-25
QRY-00036,STU-21531,2025-03-31 17:35,2025-03,Computer Applications,PG,Enrollment,Walk-in,Low,Agent F,Closed,41.3,72,Yes,No,No,3,2024-25
QRY-00037,STU-95233,2025-10-03 10:56,2025-10,Science,PG,Results,Walk-in,Medium,Agent D,Closed,10.7,48,Yes,Yes,Yes,5,2025-26
QRY-00038,STU-77848,2025-09-01 10:50,2025-09,Management,Diploma,Fee & Payment,Walk-in,Medium,Agent B,Resolved,13.1,48,Yes,No,No,4,2025-26
QRY-00039,STU-33071,2025-10-07 10:55,2025-10,Engineering,PG,Portal Access,Service Desk,Medium,Agent B,Resolved,26.0,48,Yes,Yes,No,5,2025-26
QRY-00040,STU-64713,2025-04-19 13:13,2025-04,Commerce,UG,Scholarship,Phone,Medium,Agent A,In Progress,,48,Open,No,No,,2024-25
QRY-00041,STU-13527,2025-05-21 08:53,2025-05,Management,UG,Examination,Student Portal,Low,Agent C,Resolved,20.7,72,Yes,Yes,No,4,2024-25
QRY-00042,STU-92765,2026-04-21 10:51,2026-04,Science,UG,Fee & Payment,Email,Medium,Agent B,Closed,19.5,48,Yes,Yes,No,5,2024-25
QRY-00043,STU-40946,2025-01-10 10:02,2025-01,Engineering,UG,Portal Access,Phone,Medium,Agent E,Closed,20.8,48,Yes,Yes,No,5,2024-25
QRY-00044,STU-75695,2025-01-03 12:56,2025-01,Commerce,UG,Examination,Walk-in,Critical,Agent E,Resolved,7.3,8,Yes,Yes,No,5,2024-25
QRY-00045,STU-84861,2025-06-22 10:16,2025-06,Computer Applications,UG,Examination,Phone,Medium,Agent F,Resolved,23.8,48,Yes,Yes,No,4,2024-25
QRY-00046,STU-75842,2026-06-14 08:12,2026-06,Commerce,PG,Document Update,Service Desk,Medium,Agent A,Closed,55.8,48,No,Yes,No,5,2024-25
QRY-00047,STU-88522,2026-02-21 12:18,2026-02,Engineering,Diploma,Timetable,Email,Medium,Agent F,Resolved,15.2,48,Yes,Yes,No,4,2024-25
QRY-00048,STU-72069,2025-02-25 15:46,2025-02,Computer Applications,Diploma,Examination,Service Desk,Low,Agent E,Resolved,49.7,72,Yes,Yes,No,4,2024-25
QRY-00049,STU-30913,2026-01-29 12:36,2026-01,Computer Applications,UG,Scholarship,Service Desk,Critical,Agent F,In Progress,,8,Open,No,No,,2024-25
QRY-00050,STU-38221,2025-01-28 13:03,2025-01,Science,UG,Results,Phone,Medium,Agent A,Resolved,22.9,48,Yes,Yes,No,5,2024-25
QRY-00051,STU-53220,2025-11-07 11:35,2025-11,Computer Applications,Diploma,Examination,Service Desk,High,Agent E,Resolved,11.6,24,Yes,No,Yes,5,2025-26
QRY-00052,STU-60665,2025-08-07 17:13,2025-08,Engineering,UG,Portal Access,Email,Medium,Agent A,In Progress,,48,Open,No,No,,2025-26
QRY-00053,STU-72014,2026-05-29 17:44,2026-05,Management,UG,Examination,Walk-in,Medium,Agent B,In Progress,,48,Open,No,No,,2024-25
QRY-00054,STU-78272,2026-05-18 17:17,2026-05,Computer Applications,UG,Fee & Payment,Student Portal,High,Agent F,Resolved,22.9,24,Yes,Yes,No,4,2024-25
QRY-00055,STU-29292,2025-03-06 08:47,2025-03,Engineering,UG,Examination,Student Portal,Medium,Agent E,In Progress,,48,Open,No,No,,2024-25
QRY-00056,STU-45337,2025-09-09 08:28,2025-09,Computer Applications,PG,Results,Walk-in,Medium,Agent D,Resolved,8.8,48,Yes,Yes,No,5,2025-26
QRY-00057,STU-91823,2025-03-22 12:49,2025-03,Commerce,UG,Fee & Payment,Student Portal,Critical,Agent E,Closed,15.2,8,No,No,No,4,2024-25
QRY-00058,STU-83731,2026-03-09 08:49,2026-03,Science,Diploma,Enrollment,Walk-in,High,Agent A,In Progress,,24,Open,No,No,,2024-25
QRY-00059,STU-30093,2026-05-25 17:26,2026-05,Management,UG,Portal Access,Service Desk,Medium,Agent A,Resolved,13.8,48,Yes,Yes,No,1,2024-25
QRY-00060,STU-98064,2025-03-10 15:26,2025-03,Science,UG,Document Update,Email,Medium,Agent A,Resolved,37.5,48,Yes,Yes,No,5,2024-25
QRY-00061,STU-27774,2025-11-07 11:30,2025-11,Humanities,UG,Portal Access,Phone,Medium,Agent F,Resolved,40.7,48,Yes,Yes,No,4,2025-26
QRY-00062,STU-79598,2026-02-08 13:32,2026-02,Computer Applications,UG,Portal Access,Service Desk,Medium,Agent D,Resolved,18.9,48,Yes,No,No,5,2024-25
QRY-00063,STU-84668,2025-12-10 13:16,2025-12,Humanities,UG,Results,Walk-in,Low,Agent A,Closed,23.1,72,Yes,No,No,4,2025-26
QRY-00064,STU-93956,2025-12-31 11:48,2025-12,Engineering,UG,Examination,Walk-in,Low,Agent A,Closed,26.0,72,Yes,No,No,5,2025-26
QRY-00065,STU-72015,2025-11-30 17:20,2025-11,Computer Applications,UG,Results,Service Desk,Medium,Agent C,Resolved,25.2,48,Yes,Yes,No,5,2025-26
QRY-00066,STU-74843,2026-06-09 11:38,2026-06,Humanities,Diploma,Portal Access,Phone,Medium,Agent B,Resolved,17.3,48,Yes,Yes,No,5,2024-25
QRY-00067,STU-47387,2025-04-08 09:52,2025-04,Engineering,UG,Portal Access,Service Desk,High,Agent A,In Progress,,24,Open,No,No,,2024-25
QRY-00068,STU-69103,2026-04-29 08:14,2026-04,Humanities,UG,Scholarship,Student Portal,Medium,Agent C,Pending Student,,48,Open,No,No,,2024-25
QRY-00069,STU-13456,2025-03-24 16:52,2025-03,Science,UG,Fee & Payment,Student Portal,Medium,Agent F,Pending Student,,48,Open,No,No,,2024-25
QRY-00070,STU-29738,2026-03-14 08:47,2026-03,Science,UG,Timetable,Student Portal,Medium,Agent E,Resolved,18.8,48,Yes,No,No,4,2024-25
QRY-00071,STU-57143,2025-02-04 12:25,2025-02,Computer Applications,UG,Enrollment,Phone,Medium,Agent B,Resolved,32.4,48,Yes,No,No,4,2024-25
QRY-00072,STU-77006,2025-07-16 12:08,2025-07,Engineering,UG,Fee & Payment,Service Desk,Medium,Agent A,Closed,27.2,48,Yes,Yes,No,4,2025-26
QRY-00073,STU-34670,2025-01-02 15:23,2025-01,Science,UG,Examination,Email,High,Agent B,Closed,26.9,24,No,Yes,No,4,2024-25
QRY-00074,STU-17982,2025-01-28 09:14,2025-01,Management,Diploma,Results,Student Portal,Medium,Agent F,Resolved,16.3,48,Yes,Yes,No,4,2024-25
QRY-00075,STU-72057,2025-07-02 13:27,2025-07,Management,Diploma,Examination,Service Desk,High,Agent F,Resolved,7.9,24,Yes,Yes,No,5,2025-26
QRY-00076,STU-54325,2025-05-31 10:22,2025-05,Engineering,PG,Fee & Payment,Email,Medium,Agent A,Resolved,35.8,48,Yes,No,No,5,2024-25
QRY-00077,STU-89063,2025-08-06 17:30,2025-08,Computer Applications,UG,Fee & Payment,Service Desk,Medium,Agent E,Resolved,33.7,48,Yes,Yes,No,3,2025-26
QRY-00078,STU-70694,2025-02-27 17:34,2025-02,Engineering,Diploma,Results,Service Desk,Medium,Agent A,Closed,37.6,48,Yes,Yes,No,5,2024-25
QRY-00079,STU-67207,2025-01-16 09:03,2025-01,Commerce,UG,Fee & Payment,Service Desk,Medium,Agent A,Pending Student,,48,Open,No,No,,2024-25
QRY-00080,STU-53661,2026-03-28 11:24,2026-03,Computer Applications,UG,Fee & Payment,Student Portal,Medium,Agent B,In Progress,,48,Open,No,No,,2024-25
QRY-00081,STU-95558,2025-10-21 08:55,2025-10,Commerce,UG,Results,Service Desk,Medium,Agent F,Resolved,29.0,48,Yes,Yes,No,5,2025-26
QRY-00082,STU-16966,2025-04-25 16:33,2025-04,Engineering,Doctoral,Examination,Walk-in,Medium,Agent A,Resolved,21.2,48,Yes,No,Yes,5,2024-25
QRY-00083,STU-90401,2025-06-13 15:10,2025-06,Science,Doctoral,Examination,Student Portal,Medium,Agent F,Closed,25.2,48,Yes,Yes,No,4,2024-25
QRY-00084,STU-62618,2026-05-02 10:40,2026-05,Engineering,UG,Timetable,Phone,High,Agent B,In Progress,,24,Open,No,No,,2024-25
QRY-00085,STU-61591,2026-03-23 08:24,2026-03,Computer Applications,UG,Fee & Payment,Walk-in,High,Agent C,In Progress,,24,Open,No,No,,2024-25
QRY-00086,STU-85882,2025-08-01 12:38,2025-08,Engineering,Diploma,Fee & Payment,Service Desk,High,Agent C,Closed,17.7,24,Yes,Yes,No,5,2025-26
QRY-00087,STU-17494,2026-03-05 15:42,2026-03,Management,PG,Examination,Phone,Medium,Agent D,Resolved,16.6,48,Yes,No,No,4,2024-25
QRY-00088,STU-23952,2025-07-10 13:16,2025-07,Commerce,UG,Examination,Email,Medium,Agent A,Closed,27.7,48,Yes,Yes,No,3,2025-26
QRY-00089,STU-60395,2026-04-21 17:05,2026-04,Management,UG,Scholarship,Phone,Medium,Agent C,Resolved,23.0,48,Yes,No,No,5,2024-25
QRY-00090,STU-57819,2026-06-18 10:52,2026-06,Humanities,PG,Timetable,Service Desk,Medium,Agent B,Resolved,33.0,48,Yes,Yes,No,4,2024-25
QRY-00091,STU-32684,2026-05-20 10:29,2026-05,Management,UG,Document Update,Phone,Critical,Agent D,Closed,8.2,8,No,Yes,No,4,2024-25
QRY-00092,STU-79124,2026-05-11 15:46,2026-05,Computer Applications,UG,Portal Access,Student Portal,Medium,Agent B,In Progress,,48,Open,No,No,,2024-25
QRY-00093,STU-34491,2025-11-13 11:53,2025-11,Science,UG,Document Update,Email,Medium,Agent F,Closed,24.0,48,Yes,No,No,5,2025-26
QRY-00094,STU-10346,2026-01-09 15:20,2026-01,Computer Applications,UG,Scholarship,Service Desk,Medium,Agent D,Closed,20.6,48,Yes,No,No,4,2024-25
QRY-00095,STU-85792,2026-01-20 12:59,2026-01,Commerce,PG,Document Update,Service Desk,Medium,Agent D,Closed,12.4,48,Yes,Yes,No,4,2024-25
QRY-00096,STU-24246,2025-07-19 10:49,2025-07,Humanities,PG,Timetable,Phone,High,Agent D,Resolved,24.3,24,No,Yes,No,4,2025-26
QRY-00097,STU-49686,2025-03-21 16:13,2025-03,Humanities,UG,Examination,Service Desk,Medium,Agent F,Resolved,4.1,48,Yes,Yes,No,4,2024-25
QRY-00098,STU-76850,2025-08-29 12:50,2025-08,Computer Applications,UG,Examination,Phone,Medium,Agent F,Pending Student,,48,Open,No,No,,2025-26
QRY-00099,STU-60821,2025-06-15 10:27,2025-06,Commerce,UG,Portal Access,Phone,Medium,Agent D,Closed,32.7,48,Yes,Yes,No,5,2024-25
QRY-00100,STU-18872,2025-03-04 10:28,2025-03,Science,UG,Enrollment,Student Portal,Low,Agent C,Resolved,25.6,72,Yes,No,Yes,1,2024-25
QRY-00101,STU-98490,2025-05-05 16:03,2025-05,Computer Applications,PG,Fee & Payment,Student Portal,Medium,Agent C,Resolved,28.6,48,Yes,Yes,No,5,2024-25
QRY-00102,STU-25923,2025-08-27 13:17,2025-08,Commerce,UG,Enrollment,Phone,Medium,Agent C,Closed,13.3,48,Yes,No,No,3,2025-26
QRY-00103,STU-25827,2025-09-12 11:25,2025-09,Science,UG,Enrollment,Phone,Medium,Agent F,Resolved,15.4,48,Yes,No,No,5,2025-26
QRY-00104,STU-19040,2025-03-13 16:19,2025-03,Science,Diploma,Fee & Payment,Phone,Low,Agent E,Resolved,20.2,72,Yes,Yes,No,2,2024-25
QRY-00105,STU-34729,2025-01-23 08:47,2025-01,Science,Diploma,Examination,Student Portal,Medium,Agent D,Resolved,48.5,48,No,Yes,No,5,2024-25
QRY-00106,STU-25307,2026-04-22 16:56,2026-04,Humanities,UG,Document Update,Walk-in,Medium,Agent D,Closed,10.7,48,Yes,Yes,No,4,2024-25
QRY-00107,STU-79683,2025-04-09 14:44,2025-04,Humanities,UG,Scholarship,Student Portal,High,Agent A,Resolved,18.0,24,Yes,No,No,3,2024-25
QRY-00108,STU-63818,2026-03-14 08:18,2026-03,Engineering,PG,Fee & Payment,Walk-in,Critical,Agent E,In Progress,,8,Open,No,No,,2024-25
QRY-00109,STU-60798,2026-05-11 08:11,2026-05,Engineering,UG,Examination,Email,Medium,Agent F,Pending Student,,48,Open,No,No,,2024-25
QRY-00110,STU-99408,2025-01-17 11:23,2025-01,Computer Applications,PG,Examination,Phone,Medium,Agent C,Closed,40.0,48,Yes,Yes,No,5,2024-25
QRY-00111,STU-86232,2025-02-18 12:24,2025-02,Commerce,UG,Document Update,Student Portal,Medium,Agent B,Pending Student,,48,Open,No,No,,2024-25
QRY-00112,STU-42110,2025-10-17 10:59,2025-10,Science,PG,Results,Service Desk,Medium,Agent D,Resolved,30.4,48,Yes,No,Yes,5,2025-26
QRY-00113,STU-28410,2025-06-01 11:37,2025-06,Computer Applications,UG,Portal Access,Service Desk,High,Agent E,Resolved,7.5,24,Yes,Yes,No,4,2024-25
QRY-00114,STU-46396,2025-12-09 14:35,2025-12,Management,UG,Examination,Student Portal,Critical,Agent B,Resolved,6.6,8,Yes,Yes,Yes,4,2025-26
QRY-00115,STU-46377,2026-01-13 15:59,2026-01,Commerce,UG,Portal Access,Email,Medium,Agent B,Resolved,5.3,48,Yes,Yes,No,3,2024-25
QRY-00116,STU-52793,2025-04-22 15:33,2025-04,Computer Applications,UG,Results,Service Desk,Medium,Agent D,Resolved,27.3,48,Yes,No,No,5,2024-25
QRY-00117,STU-18409,2025-10-10 08:14,2025-10,Engineering,PG,Scholarship,Service Desk,Medium,Agent D,Closed,16.0,48,Yes,Yes,No,4,2025-26
QRY-00118,STU-60087,2026-05-24 14:38,2026-05,Engineering,UG,Enrollment,Student Portal,Medium,Agent B,Resolved,26.4,48,Yes,Yes,No,5,2024-25
QRY-00119,STU-56319,2025-12-04 12:11,2025-12,Computer Applications,UG,Enrollment,Walk-in,Critical,Agent C,Resolved,8.4,8,No,No,No,5,2025-26
QRY-00120,STU-21023,2025-09-29 14:54,2025-09,Computer Applications,Diploma,Timetable,Service Desk,Low,Agent D,Resolved,19.3,72,Yes,Yes,No,5,2025-26
QRY-00121,STU-83188,2025-08-22 17:01,2025-08,Science,PG,Fee & Payment,Email,Medium,Agent F,Resolved,20.2,48,Yes,Yes,No,4,2025-26
QRY-00122,STU-23900,2026-02-20 17:57,2026-02,Science,UG,Results,Service Desk,Medium,Agent E,Resolved,36.7,48,Yes,No,No,4,2024-25
QRY-00123,STU-68932,2025-12-23 08:52,2025-12,Computer Applications,PG,Enrollment,Service Desk,High,Agent F,Resolved,28.1,24,No,Yes,No,5,2025-26
QRY-00124,STU-28444,2025-08-03 17:02,2025-08,Commerce,UG,Document Update,Walk-in,High,Agent E,Resolved,15.5,24,Yes,Yes,No,3,2025-26
QRY-00125,STU-86513,2025-09-22 11:10,2025-09,Commerce,PG,Examination,Service Desk,Medium,Agent A,Resolved,23.9,48,Yes,Yes,No,3,2025-26
QRY-00126,STU-25746,2025-02-07 10:40,2025-02,Science,UG,Portal Access,Email,High,Agent B,Resolved,18.8,24,Yes,No,No,3,2024-25
QRY-00127,STU-69130,2026-01-25 14:56,2026-01,Management,UG,Scholarship,Phone,Critical,Agent C,Resolved,1.9,8,Yes,Yes,No,4,2024-25
QRY-00128,STU-82620,2025-02-11 15:21,2025-02,Humanities,UG,Results,Email,High,Agent E,Resolved,16.1,24,Yes,Yes,No,5,2024-25
QRY-00129,STU-73271,2025-10-05 15:16,2025-10,Commerce,UG,Scholarship,Service Desk,Medium,Agent A,Closed,44.9,48,Yes,Yes,No,5,2025-26
QRY-00130,STU-82248,2026-06-20 08:06,2026-06,Engineering,UG,Portal Access,Service Desk,Low,Agent F,Pending Student,,72,Open,No,No,,2024-25
QRY-00131,STU-21223,2025-04-07 13:59,2025-04,Engineering,UG,Examination,Student Portal,High,Agent B,Resolved,8.1,24,Yes,Yes,No,4,2024-25
QRY-00132,STU-89019,2025-05-03 15:56,2025-05,Computer Applications,UG,Scholarship,Student Portal,Medium,Agent C,In Progress,,48,Open,No,No,,2024-25
QRY-00133,STU-42326,2026-04-26 16:57,2026-04,Computer Applications,Diploma,Document Update,Phone,Medium,Agent D,Resolved,21.8,48,Yes,Yes,Yes,4,2024-25
QRY-00134,STU-18750,2025-10-06 16:43,2025-10,Commerce,PG,Document Update,Email,High,Agent E,Resolved,8.6,24,Yes,No,No,2,2025-26
QRY-00135,STU-71675,2025-05-28 17:31,2025-05,Science,UG,Enrollment,Email,Medium,Agent C,Resolved,29.3,48,Yes,Yes,No,5,2024-25
QRY-00136,STU-32801,2026-06-22 11:00,2026-06,Computer Applications,Diploma,Timetable,Service Desk,High,Agent E,Closed,12.4,24,Yes,No,No,5,2024-25
QRY-00137,STU-86256,2025-07-05 14:17,2025-07,Science,PG,Document Update,Student Portal,High,Agent B,Closed,16.4,24,Yes,No,No,5,2025-26
QRY-00138,STU-64525,2026-03-07 09:36,2026-03,Engineering,UG,Enrollment,Student Portal,Medium,Agent D,Closed,37.0,48,Yes,Yes,No,5,2024-25
QRY-00139,STU-73502,2025-03-30 16:18,2025-03,Computer Applications,UG,Results,Phone,High,Agent F,In Progress,,24,Open,No,No,,2024-25
QRY-00140,STU-62350,2026-05-15 13:31,2026-05,Engineering,PG,Scholarship,Email,High,Agent B,Resolved,15.1,24,Yes,Yes,No,4,2024-25
QRY-00141,STU-46044,2026-02-18 11:30,2026-02,Humanities,UG,Results,Student Portal,Medium,Agent F,In Progress,,48,Open,No,No,,2024-25
QRY-00142,STU-75166,2025-07-03 09:34,2025-07,Computer Applications,UG,Examination,Email,Low,Agent C,Resolved,25.4,72,Yes,Yes,No,5,2025-26
QRY-00143,STU-87368,2025-10-17 09:23,2025-10,Humanities,UG,Fee & Payment,Student Portal,High,Agent E,In Progress,,24,Open,No,No,,2025-26
QRY-00144,STU-39344,2025-04-28 15:13,2025-04,Engineering,UG,Fee & Payment,Service Desk,High,Agent E,Resolved,15.5,24,Yes,Yes,No,5,2024-25
QRY-00145,STU-81731,2025-07-21 08:07,2025-07,Humanities,PG,Examination,Phone,High,Agent F,Resolved,8.8,24,Yes,Yes,No,5,2025-26
QRY-00146,STU-19728,2025-01-28 10:44,2025-01,Science,PG,Results,Student Portal,High,Agent E,Closed,29.0,24,No,Yes,Yes,4,2024-25
QRY-00147,STU-32340,2026-02-25 13:44,2026-02,Commerce,UG,Timetable,Service Desk,High,Agent E,In Progress,,24,Open,No,No,,2024-25
QRY-00148,STU-45658,2026-04-21 10:39,2026-04,Computer Applications,UG,Document Update,Service Desk,Medium,Agent F,Resolved,33.2,48,Yes,No,No,5,2024-25
QRY-00149,STU-73048,2026-01-17 11:02,2026-01,Management,UG,Fee & Payment,Email,Low,Agent E,Resolved,32.2,72,Yes,Yes,No,4,2024-25
QRY-00150,STU-99176,2025-10-21 17:26,2025-10,Engineering,UG,Fee & Payment,Walk-in,Medium,Agent D,Resolved,40.2,48,Yes,Yes,No,5,2025-26
QRY-00151,STU-71838,2025-10-09 15:25,2025-10,Engineering,PG,Results,Service Desk,Medium,Agent C,Resolved,14.3,48,Yes,Yes,Yes,5,2025-26
QRY-00152,STU-93750,2025-09-16 17:24,2025-09,Computer Applications,UG,Examination,Walk-in,Low,Agent F,Closed,34.2,72,Yes,Yes,Yes,4,2025-26
QRY-00153,STU-72995,2025-01-03 08:14,2025-01,Management,UG,Examination,Student Portal,Medium,Agent C,Closed,11.4,48,Yes,Yes,No,4,2024-25
QRY-00154,STU-70529,2025-02-17 08:56,2025-02,Computer Applications,PG,Fee & Payment,Email,High,Agent E,Resolved,8.1,24,Yes,No,No,5,2024-25
QRY-00155,STU-13142,2025-04-07 13:38,2025-04,Management,PG,Portal Access,Student Portal,Medium,Agent C,Resolved,13.2,48,Yes,No,Yes,5,2024-25
QRY-00156,STU-32102,2025-01-23 09:02,2025-01,Commerce,PG,Fee & Payment,Phone,Medium,Agent F,Resolved,19.3,48,Yes,No,No,4,2024-25
QRY-00157,STU-66676,2025-02-20 14:23,2025-02,Commerce,UG,Timetable,Service Desk,High,Agent F,Resolved,13.0,24,Yes,Yes,No,5,2024-25
QRY-00158,STU-89272,2025-07-01 11:34,2025-07,Humanities,Diploma,Timetable,Walk-in,Medium,Agent C,Resolved,49.1,48,No,Yes,No,5,2025-26
QRY-00159,STU-30291,2025-06-19 13:49,2025-06,Humanities,Doctoral,Results,Email,Medium,Agent E,Pending Student,,48,Open,No,No,,2024-25
QRY-00160,STU-19824,2025-11-27 09:35,2025-11,Engineering,UG,Examination,Walk-in,High,Agent C,Closed,12.2,24,Yes,Yes,No,4,2025-26
QRY-00161,STU-29665,2026-06-07 08:08,2026-06,Computer Applications,PG,Portal Access,Phone,Critical,Agent E,Resolved,4.1,8,Yes,Yes,No,4,2024-25
QRY-00162,STU-96559,2026-05-04 16:55,2026-05,Engineering,UG,Enrollment,Email,Medium,Agent D,Closed,19.8,48,Yes,Yes,No,5,2024-25
QRY-00163,STU-96577,2026-05-16 14:18,2026-05,Engineering,PG,Examination,Student Portal,Medium,Agent D,Resolved,14.7,48,Yes,Yes,No,4,2024-25
QRY-00164,STU-75358,2025-10-14 16:03,2025-10,Engineering,PG,Portal Access,Student Portal,Medium,Agent B,Closed,15.9,48,Yes,Yes,No,4,2025-26
QRY-00165,STU-43053,2025-12-13 16:11,2025-12,Management,PG,Scholarship,Phone,High,Agent D,Resolved,26.6,24,No,No,Yes,4,2025-26
QRY-00166,STU-68371,2026-02-21 12:35,2026-02,Commerce,Diploma,Examination,Email,High,Agent B,Closed,6.2,24,Yes,Yes,No,5,2024-25
QRY-00167,STU-24640,2026-03-01 11:14,2026-03,Commerce,UG,Fee & Payment,Walk-in,Medium,Agent E,Resolved,23.8,48,Yes,Yes,No,4,2024-25
QRY-00168,STU-37588,2025-12-13 11:43,2025-12,Commerce,UG,Scholarship,Email,Medium,Agent F,Resolved,24.6,48,Yes,No,No,3,2025-26
